,pair,TStatistic,PValue_T,significance
0,"(1,2)",-34.09028597582988,4.417142796804493e-06,****
1,"(1,3)",-3.3874647335952575,0.02759450101242264,*
2,"(1,4)",-2.689853942043827,0.09238802150144552,NA
3,"(1,5)",-0.37815515809929157,0.7248987162887018,NA
4,"(2,3)",20.575882699627638,3.2954094214400445e-05,****
5,"(2,4)",46.040818977047444,1.3311115758919157e-06,****
6,"(2,5)",36.48880024720091,3.3677625735874735e-06,****
7,"(3,4)",2.190917216580667,0.14979037544216592,NA
8,"(3,5)",3.2386287607197626,0.031715116316185385,*
9,"(4,5)",2.515715737934491,0.09944198122021906,NA
