,K,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,0.0,0.3798195966205136,0.029977330566919744,0.0020629746236628197,0.0008323612797814887,0.024755695483953826,0.009988335357377864,0.010248019878316385,0.004676692195494785,4.2082731429736,3.2967947414279686,930.6559129589544,9047.202698872034,9977.858611830987,3.2275187029553,2.4641751610818883
1,0.025,0.3602044496367306,0.027663565502331604,0.002145504724920135,0.0009148913810388042,0.025746056699041613,0.010978696572465649,0.010594235419498372,0.005022907736676774,3.9141868051643405,3.0031117025859597,836.1567502217079,8084.095484650602,8920.252234872307,3.4842605083094154,2.5222614746314886
2,0.05,0.36636927418008813,0.02716972093625898,0.0021669648722117806,0.00093635152833045,0.02600357846654137,0.011236218339965399,0.010615090823462498,0.0050437631406409006,3.636399737173803,2.7255249362541494,756.1182524014473,7282.100758652419,8038.219011053867,3.650002962483732,2.664822402442086
3,0.075,0.2964395240812712,0.024358949756137536,0.002223259259879208,0.000992645915997877,0.026679111118550494,0.011911750991974527,0.010846978184578533,0.005275650501756932,3.3808653917952,2.4702233515161662,690.1995596799716,6623.997494060704,7314.197053740678,3.5544829109172613,2.763612153551051
4,0.1,0.3015504370109514,0.023719305342007932,0.0022124096964966696,0.0009817963526153395,0.026548916357960042,0.011781556231384074,0.010787199398851286,0.0052158717160296865,3.1454322699661463,2.2349339035652473,635.4905338614603,6079.082309497389,6714.572843358848,3.766860634591226,2.827318048354268
5,0.0125,0.37122443225500923,0.0279983996660959,0.002112717738010583,0.0008821043941292522,0.025352612856126992,0.010585252729551029,0.010489619614065875,0.004918291931244276,4.066578054702195,3.155342349580332,886.235357318385,8580.382987050143,9466.61834436853,3.5622927147838355,2.4478515715141453
6,0.15,0.2935490619003598,0.022007198608278974,0.0021776266500556926,0.0009470133061743619,0.02613151980066831,0.011364159674092343,0.010587332509234222,0.005016004826412623,2.747855904769466,1.8378282960478696,552.4404529806733,5250.761356722416,5803.201809703089,3.999637850239844,2.862947225928315
7,0.2,0.2513472214197765,0.02023008108099529,0.002088029361654206,0.0008574160177728754,0.025056352339850468,0.010288992213274503,0.010082274813198499,0.004510947130376899,2.418493617395443,1.5093062503210826,493.64000431200134,4664.676830795816,5158.316835107817,3.805320233457015,2.838194561088381
8,0.25,0.21963501840021438,0.01836974051215072,0.0020231901554291745,0.0007925768115478437,0.024278281865150093,0.009510921738574124,0.009761009508944977,0.004189681826123375,2.1448670858346586,1.2362367325418822,449.7620228104209,4226.2304930923465,4675.992515902767,3.9424856712208154,2.8924777830814907
9,0.5,0.20034208563884112,0.014697474368884519,0.0016812550720288213,0.00045064172814749087,0.020175060864345857,0.005407700737769892,0.008001589121695898,0.002430261438874299,1.3888258971241112,0.48589497699924006,345.0460483910044,3193.680637679707,3538.7266860707114,4.291858339969885,3.168482583135954
10,0.75,0.21557305725202275,0.011084223847936805,0.0015859565867273183,0.00035534324284598815,0.01903147904072782,0.004264118914151858,0.007497166901798723,0.0019258392189771241,1.0885507421142104,0.20065390674898897,308.56980657178144,2845.0269687406526,3153.5967753124346,6.45175242824881,3.2175741640260545
11,0.8,0.21409663200966592,0.010611726624626379,0.0015599690738758419,0.0003293557299945116,0.0187196288865101,0.00395226875993414,0.0073401622616670725,0.001768834578845475,1.0532515963985305,0.16967535044237333,304.3738875136993,2806.5166359124364,3110.8905234261356,6.658202341304834,3.3591734882952426
12,0.85,0.2080323929703505,0.010029617786147523,0.0015478471478837337,0.00031723380400240354,0.018574165774604804,0.0038068056480288414,0.007261984037024657,0.0016906563542030588,1.022765932962347,0.1444251173435124,301.15551242484185,2773.5523057592354,3074.7078181840775,6.81636139766524,3.3417157798419534
13,0.9,0.1998894265724244,0.009361652079564626,0.0015278808387449569,0.00029726749486362695,0.018334570064939482,0.0035672099383635236,0.007145537960826811,0.0015742102780052145,0.994165183721897,0.12165798393513584,297.8778040333585,2742.133371454362,3040.0111754877203,6.995608627482275,3.1346972984161625
14,0.95,0.1897292683661805,0.00894999524866153,0.0015312180959685688,0.00030060475208723857,0.018374617151622825,0.003607257025046864,0.007163541223787621,0.001592213540966024,0.9690598922781337,0.1032660862830001,294.9166838884889,2715.1728787867487,3010.089562675237,6.913785625582629,3.1159159829859444
