,K,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,0.0,0.4730378544175212,0.0337959685593227,0.0011206545916570023,0.000914708169634247,0.013447855099884025,0.010976498035610967,0.008022621524625493,0.006272059077917762,3.865794465436433,2.9439986918119794,887.6833833096666,8561.514608758916,9449.197992068579,4.4661323689271875,0.7916176043689711
1,0.025,0.4652256519752414,0.033619168883248694,0.0011996137951557023,0.0009936673731329474,0.014395365541868425,0.01192400847759537,0.008340033790032524,0.00658947134332479,3.572383941838853,2.6509398000929387,788.7867337006568,7559.496820528773,8348.283554229429,4.439011822087066,0.882013541219972
2,0.05,0.45363171655053436,0.03227122263428396,0.0011484772068895465,0.0009425307848667916,0.013781726482674561,0.011310369418401502,0.007794705700087552,0.006044143253379818,3.2869205797950327,2.365863698388932,701.6768141660741,6710.966127621467,7412.6429417875415,4.537726564039616,0.914512536551441
3,0.075,0.45087239557060627,0.03133423583722238,0.001013464307435233,0.000807517885412478,0.012161571689222795,0.009690214624949737,0.006904175114676316,0.0051536126679685825,3.0362233745342277,2.1153298883226626,635.3235350182712,6055.803301124785,6691.126836143056,4.618695430959573,0.9202706027943515
4,0.1,0.4410793108167672,0.02998553532072136,0.0009586179105647505,0.0007526714885419955,0.011503414926777006,0.009032057862503946,0.0065959001761571505,0.004845337729449416,2.810307444904406,1.889624963625897,582.4589293404805,5540.6480394936525,6123.106968834133,4.757283654109965,0.9995459900963037
5,0.0125,0.4693742569927506,0.03363831280208264,0.0011565800710923828,0.000950633649069628,0.013878960853108595,0.011407603788835537,0.0082215057481336,0.006470943301425867,3.722048374021543,2.800429645494197,840.6863991912219,8064.689917117477,8905.3763163087,4.454926066004915,0.8218728450976881
6,0.15,0.4163353412310953,0.02754016057621482,0.0009353632922340775,0.0007294168702113227,0.01122435950680893,0.008753002442535872,0.006229177336201684,0.004478614889493952,2.415906226532971,1.4957840004225793,500.6426723220492,4738.451459242416,5239.094131564464,5.126333707647518,1.077555747342086
7,0.2,0.40515955366807016,0.02573793249414867,0.0007668958869830464,0.0005609494649602917,0.009202750643796557,0.0067313935795234965,0.0052376072842692835,0.0034870448375615487,2.109639276657993,1.1901194820039787,446.6466780595371,4192.50868551281,4639.155363572347,5.26641323102625,1.0675771147284108
8,0.25,0.5487399858837362,0.025195834312374037,0.0007806335219347178,0.0005746870999119629,0.009367602263216614,0.006896245198943555,0.005292062477706623,0.003541500030998889,1.862822368942176,0.944089774571182,408.4893089485722,3817.413020341129,4225.902329289701,7.302783285808585,1.0815048141015233
9,0.5,0.6539281751591431,0.024451244034484978,0.0007355589719705772,0.0005296125499478226,0.008826707663646927,0.00635535059937387,0.004772494561071674,0.0030219321143639412,1.240588004640287,0.32883713905359335,327.1083118919977,3020.5786002715995,3347.6869121635978,8.666726295761837,0.9705063713512825
10,0.75,0.8723947818164175,0.022639865708688176,0.000874276862959776,0.0006683304409370212,0.010491322355517314,0.008019965291244257,0.005513374374557029,0.003762811927849296,1.0274062821888075,0.12970303139628261,301.45745057563465,2755.918336746329,3057.375787321964,12.579573720413952,1.0879038027899814
11,0.8,0.8688024645699518,0.021894532708402154,0.0008574061552067622,0.0006514597331840076,0.010288873862481146,0.00781751679820809,0.005498038412847879,0.003747475966140147,1.0039098779391427,0.10993561107644098,299.0278297027383,2726.487595882108,3025.515425584846,12.871175570696456,1.1410994445551115
12,0.85,0.8630925267507917,0.020730727127172235,0.0008623857405528232,0.0006564393185300685,0.010348628886633878,0.007877271822360822,0.005593767544976056,0.0038432050982683233,0.9822087309072445,0.09331372352971617,296.8692448759807,2702.218010370199,2999.0872552461797,13.43381085221224,1.1441865824827382
13,0.9,0.8605173443723504,0.020285122387483544,0.0009138195649470415,0.0007078731429242869,0.010965834779364497,0.008494477715091441,0.0058326454460554365,0.004082082999347705,0.9618693806564687,0.07907823105443529,294.64729327670375,2680.2696790736795,2974.9169723503833,13.66906528238017,1.2017954769692107
14,0.95,0.858882759562145,0.02003960215393595,0.0009418276899221399,0.0007358812678993855,0.011301932279065677,0.008830575214792627,0.0059019835039160065,0.004151421057208276,0.9443952154969646,0.06777297542318145,292.7635431453462,2663.223984172031,2955.9875273173775,13.808478230455794,1.1863401443395751
15,1.0,0.8559716878256709,0.01967493521422032,0.0009933009087768816,0.000787354486754127,0.01191961090532258,0.009448253841049524,0.006234818939003167,0.004484256492295437,0.9259633355259452,0.05678396746352074,291.0455260111328,2641.5116740119975,2932.55720002313,14.048173758917974,1.3047947644892681
16,1.05,0.8558542271801433,0.019064087428174212,0.0009784119015456287,0.0007724654795228744,0.011740942818547545,0.009269585754274492,0.006221437656974549,0.004470875210266819,0.9084387581895518,0.0483777342269589,289.0850113169086,2619.1970277086707,2908.282039025579,14.262299069306314,1.297039553278887
17,1.1,0.8529530132393695,0.017920139056523485,0.000925608866781251,0.0007196624447584969,0.011107306401375012,0.008635949337101963,0.005975597353259518,0.0042250349065517875,0.8918921822945352,0.04133361261135947,287.2342170046961,2603.4608600332595,2890.695077037956,15.070126267896066,1.267680194837382
18,1.15,0.8517812292884622,0.017073542550456677,0.0009064926848652524,0.0007005462628424982,0.01087791221838303,0.008406555154109978,0.005844847997302983,0.004094285550595253,0.8746775016627504,0.03443049266914316,285.4322827335318,2586.0617650239737,2871.4940477575055,16.048117407474283,1.2526144046593606
19,1.2,0.8445168950447344,0.014859399256130439,0.0008552448075435961,0.0006492983855208421,0.010262937690523156,0.007791580626250106,0.005625965801923836,0.003875403355216105,0.8560751814511747,0.02941114612953611,283.30163306042675,2567.9739381564837,2851.275571216911,19.345901130427954,1.2548047557465158
20,1.25,0.8447580230785613,0.014214348242275755,0.0008123326530826365,0.0006063862310598824,0.009747991836991637,0.007276634772718589,0.00537766307829705,0.0036271006315893198,0.8375601323640123,0.024796356340288563,281.20117572029017,2551.8934651832633,2833.094640903553,20.09935319126312,1.2889637319184584
21,1.5,0.8423344216735852,0.00921632126449073,0.000687654070010778,0.00048170764798802397,0.008251848840129335,0.005780491775856287,0.004651856304284188,0.0029012938575764596,0.7089046598041276,0.011012305945609079,267.2205237018458,2420.847952650012,2688.0684763518575,31.154721235083493,1.3068262132697361
22,1.75,0.8713659564303569,0.003901481841794034,0.00043026228190219527,0.0002243158598794407,0.005163147382826344,0.0026917903185532882,0.0031795754831973285,0.0014290130364895972,0.4466087222887819,0.0033198657671912567,240.07254938780775,2176.948486242334,2417.021035630142,72.65700084303052,1.3118559251757251
23,2.0,0.6941999854990194,2.523372665938423e-05,0.00021007811601994714,4.131693997190587e-06,0.002520937392239367,4.9580327966287045e-05,0.0017662609271173616,1.5698480409620353e-05,0.0,0.0,193.54381129434285,1809.1829545235164,2002.7267658178591,13142.830561484587,1149.0180014081866
