,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,601818.SH,-0.026275135673773264,-0.0040937584741254085,-0.0088362275,-0.0013664525,-0.10603473,-0.016397429999999998,-0.03534491,-0.00546581,1.0,0.0,367.49,2127.52,2495.01,,
1,600600.SH,0.0030459390734376424,-0.005785489273417526,0.0007496238461538461,-0.0019921676923076873,0.008995486153846153,-0.023906012307692247,0.0029984953846153846,-0.00796867076923075,0.9230769230769231,0.23076923076923078,267.1365384615384,2762.5049999999997,3029.641538461539,0.12777217802216317,0.09524636441568393
2,600585.SH,0.01081436452271041,0.010595559363229931,0.003260379210526316,0.003429548684210526,0.03912455052631579,0.04115458421052631,0.013041516842105264,0.013718194736842104,1.0,0.21052631578947367,263.56368421052633,3067.831052631579,3331.3947368421054,0.3658839381834895,0.33427269386290637
3,600362.SH,0.02584460559502065,0.0036233374755064995,0.008161073333333333,0.0010313657291666667,0.09793288,0.012376388750000002,0.03264429333333333,0.004125462916666667,1.2083333333333333,0.375,395.27375,3003.075833333334,3398.349583333334,0.624040109239119,0.6058018309113374
4,600012.SH,-0.014293578946438757,-0.002936250876900397,-0.0048640986290322576,-0.0010081366935483823,-0.05836918354838709,-0.012097640322580587,-0.01945639451612903,-0.004032546774193529,0.9032258064516129,0.12903225806451613,225.30903225806452,3154.8729032258066,3380.181935483871,-0.8805302314408248,-0.8980389160521437
5,600548.SH,0.0015758949048178307,0.005333575278216258,4.5857500000000155e-05,0.0016756127083333364,0.0005502900000000019,0.020107352500000036,0.00018343000000000062,0.0067024508333333455,1.0,0.20833333333333334,233.595,3569.71625,3803.31125,0.05075460990712963,0.004517596275893957
6,601398.SH,0.012487455177709862,0.006664628159661475,0.003409143928571428,0.0021651079761904808,0.040909727142857136,0.02598129571428577,0.013636575714285712,0.008660431904761923,0.9523809523809523,0.14285714285714285,269.46999999999997,2775.9414285714283,3045.4114285714286,0.557120251297049,0.46395903389359733
7,601939.SH,-4.371646630623357e-05,0.005829348039288644,-0.00012489093749999997,0.001840793437500001,-0.0014986912499999998,0.02208952125000001,-0.0004995637499999999,0.007363173750000004,1.375,0.5,339.4004166666667,3210.17,3549.570416666667,-0.0013889971210369425,-0.012374987372649299
8,600808.SH,0.011511396384194619,-0.00387770110764923,0.0034920453571428566,-0.0013476099107142835,0.04190454428571428,-0.016171318928571404,0.013968181428571426,-0.005390439642857134,1.1785714285714286,0.35714285714285715,294.5007142857143,3057.0160714285716,3351.5167857142856,0.5130912913231485,0.4704895377084101
9,600029.SH,0.003343525276341341,0.005576253716078627,0.0007917993939393936,0.0017629594696969755,0.009501592727272724,0.021155513636363706,0.0031671975757575745,0.007051837878787902,1.0,0.2727272727272727,317.7772727272727,2424.9906060606063,2742.7678787878785,0.11170358830992928,0.08134582106635396
10,601288.SH,-0.016750304390991975,-0.0035363166988149086,-0.005722241538461539,-0.0011979563461538385,-0.06866689846153846,-0.014375476153846063,-0.022888966153846155,-0.004791825384615354,1.3076923076923077,0.38461538461538464,317.54538461538453,3778.8969230769235,4096.442307692307,-1.2697723094138846,-1.3053406296801895
11,600026.SH,0.024618244307456457,-0.00031503277602025053,0.006473833275862071,-0.00018465879310344656,0.07768599931034485,-0.002215905517241359,0.025895333103448284,-0.0007386351724137862,1.1379310344827587,0.3448275862068966,301.3951724137931,2995.444827586206,3296.84,0.897832153040097,0.7138135391487135
12,600028.SH,-0.007571019164061913,-0.004534451956436549,-0.0027017184558823532,-0.0015295524999999993,-0.03242062147058824,-0.01835462999999999,-0.010806873823529413,-0.006118209999999997,1.1176470588235294,0.3235294117647059,312.1741176470589,3196.165882352941,3508.34,-0.6320990092964861,-0.6697814164552351
13,600196.SH,0.03043513111850915,5.1668389848380514e-05,0.0100438275,1.72225000000005e-05,0.12052593,0.00020667000000000602,0.04017531,6.8890000000002e-05,0.0,0.0,326.46,499.37,825.83,,
14,600377.SH,0.01435954591074725,-0.0009376942436766722,0.0045485629,-0.0003506521000000012,0.054582754799999994,-0.004207825200000014,0.0181942516,-0.0014026084000000048,1.28,0.6,307.92240000000004,3554.8004000000005,3862.7228000000005,0.7605738289024319,0.7233432660455077
15,600115.SH,0.020783785774874306,0.007444539508847543,0.005256745769230768,0.002055560000000002,0.0630809492307692,0.024666720000000024,0.02102698307692307,0.008222240000000007,0.717948717948718,0.05128205128205128,276.87307692307695,2321.9861538461532,2598.859230769231,0.3163936829735293,0.2552735199953275
16,600036.SH,0.003989797361413335,-0.002174854724806091,0.001055857788461538,-0.0007688574038461518,0.012670293461538456,-0.009226288846153822,0.004223431153846152,-0.003075429615384607,0.8076923076923077,0.15384615384615385,290.0919230769231,2285.5230769230766,2575.6150000000002,0.1997389993868111,0.15703515799639764
17,601991.SH,-0.0014308170275786,-0.0015978515253996933,-0.0007526313281249995,-0.0006563598437499959,-0.009031575937499994,-0.007876318124999952,-0.003010525312499998,-0.0026254393749999836,1.0625,0.25,277.28156249999995,2967.2546875,3244.53625,-0.042054599642154585,-0.0667637217053535
18,600030.SH,-0.010279423648674993,-0.0009311893504463869,-0.0034955866666666665,-0.00032740249999999987,-0.04194704,-0.003928829999999999,-0.013982346666666666,-0.0013096099999999995,0.8888888888888888,0.2222222222222222,343.2177777777777,2165.408888888889,2508.626666666667,-0.78655026961223,-0.8015051618818373
19,600688.SH,-0.006846125366233008,0.0041138374706057666,-0.0026993813043478263,0.0012607257608695667,-0.03239257565217392,0.015128709130434799,-0.010797525217391305,0.005042903043478267,1.0434782608695652,0.21739130434782608,335.4543478260869,2864.5047826086957,3199.9591304347823,-0.21150550749385222,-0.25351164712177926
20,601328.SH,0.011077342539926868,0.012185439879967615,0.0034464300961538465,0.003994166730769231,0.04135716115384616,0.04793000076923078,0.013785720384615386,0.015976666923076924,0.9615384615384616,0.2692307692307692,325.13846153846157,2623.8999999999996,2949.038461538461,0.4973676406462549,0.47169985078157206
21,600027.SH,-0.0018511204583617257,-0.009299784917841144,-0.0010866832692307692,-0.0031988154807692268,-0.013040199230769229,-0.03838578576923072,-0.004346733076923077,-0.012795261923076907,1.1153846153846154,0.34615384615384615,293.16615384615386,2951.1773076923077,3244.3434615384613,-0.06341804509733269,-0.11338113929270223
22,601998.SH,0.005369656017617387,0.0013557952404809482,0.0016069910714285715,0.0004076336904761927,0.019283892857142857,0.004891604285714312,0.006427964285714286,0.0016305347619047707,0.8095238095238095,0.14285714285714285,296.07142857142856,2603.3242857142855,2899.3957142857143,0.262267034004095,0.23620711164826014
23,600685.SH,-0.006495196831523277,-0.005438805392307176,-0.002433521532258064,-0.0019114196774193484,-0.02920225838709677,-0.02293703612903218,-0.009734086129032257,-0.007645678709677394,0.8064516129032258,0.12903225806451613,263.0112903225807,2705.984838709677,2968.996129032258,-0.21914405161255904,-0.24562380562617475
24,601988.SH,-0.013088571756639715,-0.005153399112895322,-0.004495866136363637,-0.001765667500000002,-0.05395039363636364,-0.021188010000000024,-0.017983464545454547,-0.007062670000000008,0.8636363636363636,0.18181818181818182,267.7963636363636,2842.8563636363633,3110.652727272727,-0.6447114838090833,-0.6548159123029859
25,601588.SH,-0.021692412590508647,-0.002627044988910701,-0.0076370183695652185,-0.0009078860869565197,-0.09164422043478263,-0.010894633043478236,-0.030548073478260874,-0.0036315443478260787,0.8695652173913043,0.08695652173913043,299.63391304347823,2394.5495652173913,2694.183478260869,-1.266223267770909,-1.3322831804745905
26,600011.SH,-0.004999373112919077,0.006124002190080884,-0.0020867276086956525,0.0016302202173913056,-0.02504073130434783,0.01956264260869567,-0.00834691043478261,0.0065208808695652225,1.0869565217391304,0.30434782608695654,302.5308695652174,3208.933043478261,3511.463913043479,-0.07703669092655989,-0.10191478636928145
27,601866.SH,0.0036514389931880634,0.0024576236181012203,0.0008747043103448282,0.0006979084482758649,0.010496451724137938,0.008374901379310379,0.003498817241379313,0.0027916337931034596,0.8620689655172413,0.1724137931034483,262.5065517241379,2941.211034482759,3203.7175862068966,0.1072313462421523,0.07843180687874403
28,601899.SH,0.00880589973524586,0.00958410887900495,0.0025612157954545455,0.0030939782954545456,0.030734589545454546,0.03712773954545455,0.010244863181818182,0.012375913181818183,1.1363636363636365,0.36363636363636365,193.17318181818183,3922.864545454545,4116.037727272727,0.2955228876813587,0.26312502187903286
29,600837.SH,-0.0027308721246609435,-0.014250534579290486,-0.0009819680000000002,-0.004810029,-0.011783616000000002,-0.057720348000000005,-0.003927872000000001,-0.019240116,0.8,0.2,320.902,1888.8259999999998,2209.728,-0.13579906844054382,-0.14441821710162017
30,600332.SH,-0.006400502587415116,-0.005279407836415232,-0.0024226779032258065,-0.0018378949193548363,-0.029072134838709678,-0.022054739032258033,-0.009690711612903226,-0.007351579677419345,0.8064516129032258,0.06451612903225806,267.33870967741933,2416.0325806451615,2683.3712903225805,-0.2408735534450383,-0.27604681876497655
31,601633.SH,0.05259344327769671,0.010598833131778883,0.0164611525,0.003385900277777772,0.19753383,0.040630803333333264,0.06584461,0.013543601111111088,1.2222222222222223,0.5555555555555556,275.1933333333334,4144.806666666666,4420.0,1.403815337642124,1.3367757697239209
32,600775.SH,-0.008491814101513591,-0.01737354397022188,-0.0033430322500000004,-0.005929182583333333,-0.040116387,-0.071150191,-0.013372129000000002,-0.02371673033333333,1.0,0.26666666666666666,294.9386666666667,2710.9823333333334,3005.9210000000007,-0.280623854283043,-0.3221332298466328
33,601336.SH,0.0036432502498959574,0.004074578544309282,0.0005754884999999994,0.0013181144999999997,0.006905861999999993,0.015817373999999995,0.0023019539999999976,0.005272457999999999,1.0,0.2,198.804,2843.344,3042.148,0.17391354565643674,0.08329474065284212
34,601318.SH,-0.00714717648644661,0.003273418125717076,-0.002594360520833333,0.0010155941666666647,-0.031132326249999995,0.012187129999999977,-0.010377442083333332,0.004062376666666659,0.7916666666666666,0.16666666666666666,249.58833333333337,3065.81625,3315.404583333333,-0.26634046026144303,-0.2951132630570543
35,601601.SH,-0.00849665789797959,0.0036260156102819107,-0.00319183375,0.0011818580357142877,-0.038302005,0.014182296428571453,-0.012767335,0.004727432142857151,1.3571428571428572,0.5,301.0242857142857,3545.5528571428563,3846.577142857143,-0.5398020507666527,-0.6105741934791756
36,600016.SH,-0.0037003884676985194,-0.0028498134674811585,-0.0013778421666666674,-0.0009746446666666617,-0.01653410600000001,-0.011695735999999941,-0.00551136866666667,-0.003898578666666647,1.1333333333333333,0.3333333333333333,361.83866666666665,1927.6253333333334,2289.464,-0.2445407741469936,-0.27302691096142917
37,601628.SH,0.0006369906944175155,0.0021012963161882964,-0.00011879160714285714,0.0006637649107142849,-0.0014254992857142858,0.007965178928571418,-0.0004751664285714286,0.0026550596428571395,1.0357142857142858,0.32142857142857145,270.33428571428567,3229.0875,3499.421785714286,0.03436082152002334,-0.019414947168056824
