,tf,tt,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,1,1,0.3390016223627279,0.0743838620307111,-0.004095870554231931,-0.0008367691725219491,-0.04915044665078317,-0.010041230070263389,-0.004095870554231931,-0.0008367691725219491,0.9023617136388715,0.17733634053245298,273.54755961829227,2769.1406943643806,3042.688253982674,2.3976303425376932,-0.5378645957862848
1,1,2,0.016375961850969085,0.0037942469180979876,-0.0011082172703697454,-0.0002150790230455842,-0.013298607244436942,-0.0025809482765470106,-0.0022164345407394907,-0.0004301580460911684,0.9136183318518034,0.18797143571538472,275.3474885731039,2792.4157330237567,3067.7632215968615,0.5240345689248856,-0.24021387767245095
2,1,3,0.001424026750996362,-0.000459719533760557,-0.0006489853410610607,-0.00033053780935860466,-0.007787824092732731,-0.0039664537123032554,-0.0019469560231831831,-0.0009916134280758139,0.9114937877229351,0.18976310779564934,276.0591232266311,2785.2155779690215,3061.2747011956535,0.10639929794240811,-0.2010377346682148
3,1,4,-4.099359789941386e-05,-0.0004430596414364586,-0.0003922253715763496,-0.0002278811338928788,-0.004706704458916196,-0.002734573606714545,-0.0015689014863053984,-0.0009115245355715152,0.9122144163487135,0.19085159593710355,276.4228660999351,2783.1343290534383,3059.5571951533734,-0.0056185386298286235,-0.16417027296257644
4,1,5,0.0003895688981536299,-0.00020757292426073514,-7.444947520351785e-06,-0.00012337718347658146,-8.93393702442198e-05,-0.001480526201718977,-3.7224737601758434e-05,-0.0006168859173829067,0.9075602715445492,0.19326340755357682,276.09652378286023,2781.0006508198785,3057.0971746027385,0.08370420644308084,-0.003875035543143883
5,1,6,0.00011251348806461182,-0.00020373701088414504,-2.8413796105403616e-05,-0.00012039526945831471,-0.00034096555326484365,-0.001444743233499777,-0.00017048277663242182,-0.0007223716167498882,0.9102427836871321,0.1943439608816374,276.3660452193617,2779.485833557931,3055.8518787772928,0.03545427465911725,-0.018014248786571787
6,1,7,-0.00019872260050263666,-0.00011142967260672054,-0.00016007923480820555,-7.452388873462451e-05,-0.001920950817698466,-0.000894286664815495,-0.001120554643657439,-0.0005216672211423724,0.8980950447248421,0.18875536281098956,274.90769973819016,2772.331504819432,3047.239204557622,-0.08205956712146399,-0.11375941794953241
7,1,8,-0.0001738240922590023,-9.745180842159745e-05,-0.0001397222312200546,-7.012037854648033e-05,-0.0016766667746406548,-0.0008414445425577636,-0.0011177778497604368,-0.0005609630283718427,0.8983822145178689,0.18962070941755052,274.7094390468421,2779.010588676467,3053.7200277233087,-0.09191191537694973,-0.11107215310116787
8,1,9,-0.00028605528869848944,-0.00015862103721683385,-0.00022709451513774404,-0.00012161987450830118,-0.002725134181652929,-0.0014594384940996145,-0.002043850636239697,-0.001094578870574711,0.9004253220686349,0.1903636466873322,275.3621947617871,2775.242472578593,3050.6046673403803,-0.19528189676494798,-0.20698820391076495
9,1,10,-0.0003600737658898568,-0.00013012242760049856,-0.0003060704117866136,-0.00010973537172944878,-0.003672844941439363,-0.0013168244607533854,-0.0030607041178661366,-0.0010973537172944874,0.8972593598901036,0.19074213427333317,275.0243121171931,2766.232411847173,3041.2567239643663,-0.3044223988912911,-0.31074859224305085
