,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,601211.SH,0.044464071599148614,-0.018908836685953646,-0.007342099374999999,-0.003000047656249992,-0.08810519249999998,-0.0360005718749999,-0.007342099374999999,-0.003000047656249992,1.015625,0.15625,285.53890624999997,2709.62421875,2995.163125,0.22602495551086105,-0.4595921210423461
1,601828.SH,0.2153585765910858,0.03660486508481842,0.0007467770491803274,-0.00039337049180327593,0.008961324590163928,-0.004720445901639311,0.0007467770491803274,-0.00039337049180327593,0.8360655737704918,0.11475409836065574,241.15344262295082,2814.9078688524587,3056.061311475409,0.590393453318059,0.03157603258820597
2,600958.SH,-0.007890432768868352,-0.05682250123851979,-0.01468967712121212,-0.005987027272727256,-0.17627612545454543,-0.07184432727272708,-0.01468967712121212,-0.005987027272727256,0.7424242424242424,0.06060606060606061,271.20500000000004,2350.1251515151516,2621.3301515151516,-0.045540673693224815,-1.0396652822846102
3,601811.SH,0.1249711787813941,0.034362181517171825,-0.002572815915492958,-0.0006456821126760562,-0.030873790985915493,-0.0077481853521126735,-0.002572815915492958,-0.0006456821126760562,0.9154929577464789,0.14084507042253522,219.82929577464787,3356.248169014085,3576.077464788733,0.3710181358747719,-0.10264121829862913
4,601881.SH,1.5815244145484753,0.004389022270038107,0.0018284200000000016,-0.003483893114754085,0.02194104000000002,-0.041806717377049024,0.0018284200000000016,-0.003483893114754085,0.9180327868852459,0.13114754098360656,277.48918032786884,2696.5504918032793,2974.0396721311477,5.049942830868735,0.06398177122914173
5,601868.SH,0.8996042942970791,0.15609184875166246,0.009997291764705886,0.007245861176470588,0.11996750117647062,0.08695033411764706,0.009997291764705886,0.007245861176470588,0.9411764705882353,0.17647058823529413,311.8094117647059,1976.8999999999996,2288.7094117647057,1.8091904870967386,0.3414953134451368
6,601818.SH,0.09302784985841653,-0.011752878550727151,-0.006996782077922079,-0.0019202754545454425,-0.08396138493506496,-0.02304330545454531,-0.006996782077922079,-0.0019202754545454425,0.8831168831168831,0.09090909090909091,262.95961038961036,2639.0049350649356,2901.9645454545453,0.5760516070563784,-0.5400478614190435
7,600999.SH,0.46098456767306084,-0.00794626404681469,0.0041357968571428564,-0.002310527571428559,0.049629562285714274,-0.02772633085714271,0.0041357968571428564,-0.002310527571428559,0.8,0.11428571428571428,286.875,2263.1914285714283,2550.0664285714283,2.208193789795582,0.23388852513722982
8,600600.SH,0.17122085743204207,-0.002887747292071472,-0.005391933855421687,-0.0018801173493975902,-0.06470320626506025,-0.022561408192771082,-0.005391933855421687,-0.0018801173493975902,0.8554216867469879,0.12048192771084337,252.0453012048193,2738.005662650603,2990.0509638554213,0.7636546955698734,-0.3189801797754992
9,600585.SH,0.6040506705699263,0.057466122073049436,0.008132453720930232,0.0027488551162790694,0.09758944465116279,0.03298626139534883,0.008132453720930232,0.0027488551162790694,0.9883720930232558,0.23255813953488372,273.7233720930233,2930.4755813953493,3204.198953488372,2.2891101125765285,0.45010921858114683
10,600362.SH,0.5651906821861348,0.048317345577621976,0.010068809500000001,0.001762770999999997,0.12082571400000001,0.021153251999999963,0.010068809500000001,0.001762770999999997,0.8,0.0875,261.455375,2556.1213749999997,2817.57675,1.8760302434672893,0.5361927698204851
11,600012.SH,0.32050628164231737,0.2774612456094542,-0.0025711023809523816,0.0003864059523809601,-0.03085322857142858,0.004636871428571521,-0.0025711023809523816,0.0003864059523809601,0.7023809523809523,0.047619047619047616,200.37845238095238,3021.474166666667,3221.8526190476196,0.1228322250173321,-0.06282515695376788
12,600548.SH,0.05741162982669672,-0.027282249798950053,-0.005667496543209877,-0.003904783456790113,-0.06800995851851853,-0.046857401481481355,-0.005667496543209877,-0.003904783456790113,0.8518518518518519,0.07407407407407407,242.61555555555552,3037.3232098765434,3279.9387654320985,0.28112625058793755,-0.3286214992187112
13,601788.SH,0.12094544739064261,0.052675525354066034,-0.004284643880597016,0.0004785319402985077,-0.051415726567164186,0.005742383283582092,-0.004284643880597016,0.0004785319402985077,0.8507462686567164,0.11940298507462686,286.79402985074626,2627.2019402985075,2913.995970149254,0.32705110342189425,-0.16616341426182435
14,601688.SH,0.11965959347311741,0.0072915178937588586,-0.010010206125,-0.0024811216249999856,-0.12012247350000001,-0.02977345949999983,-0.010010206125,-0.0024811216249999856,0.8375,0.0625,268.00649999999996,2528.080625,2796.0871250000005,0.31657744145891664,-0.46437724115004075
15,601398.SH,0.07685593780990507,-0.0032950904864228444,-0.000998009390243902,-0.0012316148780487741,-0.011976112682926825,-0.01477937853658529,-0.000998009390243902,-0.0012316148780487741,0.9878048780487805,0.2073170731707317,271.8420731707317,2909.5863414634146,3181.4284146341465,0.4430815713255207,-0.07775727279372924
16,601939.SH,0.08893380940456745,-0.010866592880092467,-0.00034984000000000046,-0.002391193797468347,-0.004198080000000005,-0.028694325569620163,-0.00034984000000000046,-0.002391193797468347,0.759493670886076,0.05063291139240506,240.93379746835436,2705.9092405063293,2946.8430379746837,0.4184049987766714,-0.02180063932194948
17,600808.SH,0.24602118465049821,0.11872456444699071,-0.007543222179487179,0.0034813700000000066,-0.09051866615384616,0.04177644000000008,-0.007543222179487179,0.0034813700000000066,0.9743589743589743,0.1794871794871795,286.2674358974359,2740.157051282052,3026.4244871794863,0.49015120597480943,-0.237955669602466
18,600029.SH,0.6713502011820466,-0.002293582083730791,0.001224767272727273,-0.004426344090909079,0.014697207272727275,-0.05311612909090895,0.001224767272727273,-0.004426344090909079,0.875,0.06818181818181818,313.8364772727273,2279.345568181818,2593.1820454545455,1.3711002756184627,0.049870715248094395
19,600547.SH,0.6820959604020542,0.09870287421982338,0.017977012857142854,0.00502553061224489,0.21572415428571423,0.06030636734693867,0.017977012857142854,0.00502553061224489,0.8367346938775511,0.16326530612244897,360.3240816326531,1619.3004081632653,1979.6244897959184,1.9172857617925256,0.8282866825312664
20,601288.SH,-0.0024151802717985067,0.012798655405225628,-0.005111901973684212,0.00015934223684211472,-0.06134282368421054,0.0019121068421053765,-0.005111901973684212,0.00015934223684211472,0.868421052631579,0.14473684210526316,246.64078947368418,2685.811315789473,2932.452105263158,-0.01412647439079903,-0.4097713482553537
