,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,601818.SH,0.31432372016761856,0.3264004625426584,0.046607215,0.048203915,0.55928658,0.57844698,0.09321443,0.09640783,2.0,1.0,1586.91,10133.98,11720.89,,
1,600600.SH,-0.006036262229895847,-0.03276490395679839,-0.004890895,-0.00950358293103448,-0.058690740000000005,-0.11404299517241376,-0.00978179,-0.01900716586206896,2.2758620689655173,1.4482758620689655,1601.1320689655172,12536.263448275862,14137.395517241379,-0.02583959541704535,-0.12000538407130439
2,600585.SH,-0.0030695197374083372,0.04387710722318436,-0.0038110393055555544,0.0008715504166666723,-0.04573247166666665,0.010458605000000069,-0.007622078611111109,0.0017431008333333446,1.6666666666666667,0.8333333333333334,1434.5702777777778,10751.61777777778,12186.188055555554,-0.008679415575026477,-0.07693460783385263
3,600362.SH,-0.054416582337795234,0.020675538206272954,-0.010688697708333333,6.722416666666887e-05,-0.1282643725,0.0008066900000000266,-0.021377395416666667,0.00013444833333333775,1.375,0.5416666666666666,1290.1000000000001,8230.16,9520.26,-0.22106073233693124,-0.29241432386010197
4,600012.SH,0.006104367604996727,0.009889757143533129,-0.0021279506666666667,-0.0025952393333333354,-0.025535408000000002,-0.031142872000000023,-0.0042559013333333335,-0.005190478666666671,1.7666666666666666,0.8333333333333334,1364.5040000000001,11097.458,12461.962000000003,0.02316114838946234,-0.051449621413122204
5,600548.SH,0.02434820828033307,0.011567977019393435,-0.000389378437499999,-0.003189233906250004,-0.004672541249999988,-0.03827080687500005,-0.000778756874999998,-0.006378467812500008,2.15625,1.21875,1423.1665625,10505.175625,11928.3421875,0.08941550664264179,-0.008351734747088349
6,601398.SH,-0.05446303853711865,-0.039810828827268906,-0.010250317727272727,-0.00849421696969696,-0.12300381272727272,-0.10193060363636353,-0.020500635454545453,-0.01698843393939392,1.9696969696969697,1.1515151515151516,1460.2881818181816,10437.672424242422,11897.960606060604,-0.35361971707243917,-0.38101065820838864
7,601939.SH,-0.0433808318473845,-0.04320078183426955,-0.00808878261904762,-0.009819387619047621,-0.09706539142857143,-0.11783265142857145,-0.01617756523809524,-0.019638775238095242,1.5714285714285714,0.7142857142857143,1483.5104761904763,9200.792857142857,10684.303333333331,-0.23287368263020472,-0.2505510350552967
8,600808.SH,-0.028531863890104894,0.024054227533166234,-0.006654169791666667,-0.0033849893750000047,-0.0798500375,-0.04061987250000006,-0.013308339583333334,-0.006769978750000009,2.0416666666666665,1.0833333333333333,1714.7641666666666,11182.7325,12897.496666666668,-0.07027728249272193,-0.12693338968730486
9,600029.SH,0.04101030252961795,-0.026373183421959705,0.001957856346153847,-0.016794654423076923,0.023494276153846163,-0.20153585307692307,0.003915712692307694,-0.03358930884615385,1.7307692307692308,0.8846153846153846,1606.03,8949.608461538463,10555.638461538461,0.11556541311611902,0.024775478755997612
10,601288.SH,-0.010564407712109758,0.06429769113417907,-0.0025703559090909088,0.009094552272727275,-0.030844270909090907,0.1091346272727273,-0.0051407118181818175,0.01818910454545455,1.6363636363636365,0.7272727272727273,1485.6872727272726,9461.544545454544,10947.23181818182,-0.06654532015565492,-0.10615467592444916
11,600026.SH,0.09400616270179876,0.039537473573184316,0.0069405788888888915,6.894814814815373e-05,0.0832869466666667,0.0008273777777778448,0.013881157777777783,0.00013789629629630746,1.8148148148148149,1.0,1611.3785185185188,10878.312222222223,12489.690740740742,0.25638678941340826,0.14006986713663358
12,600028.SH,0.017218945128511385,0.0679016513462189,0.0005522381250000004,0.005718911406249997,0.006626857500000005,0.06862693687499996,0.0011044762500000008,0.011437822812499995,1.65625,0.8125,1275.0034375,8999.0503125,10274.05375,0.04496879959717459,0.012800216989255103
13,600196.SH,-0.010936370886082037,-0.028646135408317463,-0.0028499320000000008,-0.00488144399999999,-0.03419918400000001,-0.05857732799999988,-0.0056998640000000015,-0.00976288799999998,0.8,0.0,1205.824,3619.406,4825.2300000000005,-0.37939172337889704,-0.5758358532491649
14,600377.SH,0.11042462790442126,0.11656731330218614,0.0056454575609756075,0.012250530853658542,0.0677454907317073,0.1470063702439025,0.011290915121951215,0.024501061707317084,2.292682926829268,1.5365853658536586,1580.0026829268293,11925.632195121952,13505.634878048779,0.2593311986552981,0.11952995161340497
15,600115.SH,-0.1353428631141914,-0.0696747682943028,-0.02592122909090909,-0.023128497272727266,-0.3110547490909091,-0.2775419672727272,-0.05184245818181818,-0.04625699454545453,1.4545454545454546,0.5909090909090909,1497.9004545454547,8754.405909090909,10252.306363636364,-0.34923037399094675,-0.37492442664597625
16,600036.SH,0.3438230384328263,0.2305864399467695,0.021331759333333335,0.01865169433333334,0.255981112,0.22382033200000007,0.04266351866666667,0.03730338866666668,2.033333333333333,1.1333333333333333,1894.249333333333,10256.997333333335,12151.24666666667,0.3657437487619941,0.29708249044913393
17,601991.SH,0.03286772505409614,0.033271378096179756,0.0011077970454545449,-0.001216333409090901,0.013293564545454538,-0.014596000909090811,0.0022155940909090897,-0.002432666818181802,1.5,0.5454545454545454,1392.4645454545455,7777.792272727273,9170.256818181819,0.08439113381461792,0.022044631999673804
18,600030.SH,0.008401433993415891,-0.04357488021345679,0.00014442624999999988,-0.011483910625000005,0.0017331149999999986,-0.13780692750000006,0.00028885249999999977,-0.02296782125000001,1.625,0.75,1448.30375,6944.224999999999,8392.528750000001,0.03879750094172386,0.0031852285657411445
19,600688.SH,0.08657933554276104,0.10125183186695116,0.0075168136538461515,0.00921178942307693,0.09020176384615382,0.11054147307692315,0.015033627307692303,0.01842357884615386,2.0,1.1153846153846154,1753.841923076923,10617.022692307692,12370.864615384617,0.21979774211332104,0.143456866153754
20,601328.SH,0.010492273874073709,0.04425735200435614,-0.0010421665909090916,0.0043443272727272785,-0.0125059990909091,0.05213192727272734,-0.002084333181818183,0.008688654545454557,1.8636363636363635,1.0454545454545454,1622.9818181818184,10346.52318181818,11969.505000000003,0.0460508730106032,-0.030194234975150263
21,600027.SH,-0.039925766295637204,-0.026369083921310786,-0.009771762727272726,-0.013547606136363632,-0.11726115272727272,-0.1625712736363636,-0.019543525454545452,-0.027095212272727265,1.8181818181818181,0.9090909090909091,1543.7836363636363,10242.18090909091,11785.964545454546,-0.09823729721293747,-0.1637897597963485
22,601998.SH,0.03133568846192757,-0.02315817312191814,0.0034337264285714286,-0.006056319285714288,0.041204717142857145,-0.07267583142857145,0.006867452857142857,-0.012112638571428577,1.7142857142857142,0.7142857142857143,1551.452380952381,9424.38619047619,10975.838571428572,0.17163585671616172,0.11553450064296836
23,600685.SH,0.08030741208497316,-0.06479188882830979,0.009279597884615385,-0.020081074807692303,0.11135517461538462,-0.24097289769230762,0.01855919576923077,-0.040162149615384606,1.6538461538461537,0.7307692307692307,1674.878076923077,10132.391153846156,11807.26923076923,0.2777228457299397,0.13974956937224448
24,601988.SH,-0.006840281694673961,-0.03732729456687466,-0.00249704975,-0.006855879749999997,-0.029964597,-0.08227055699999997,-0.0049940995,-0.013711759499999993,2.25,1.35,1697.9060000000002,10986.217499999999,12684.1235,-0.07725429283560603,-0.1678258030673106
