,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,-0.04063618197889522,0.014055768247827838,-0.0093938845,-0.0003499504999999908,-0.112726614,-0.00419940599999989,-0.018787769,-0.0006999009999999816,1.8,1.0,1747.2055,10564.143499999998,12311.348999999998,-0.18994136376811785,-0.28342890950677924
1,002490.SZ,-0.020342014051364238,-0.17087952838304196,-0.008148909210526316,-0.0411108394736842,-0.0977869105263158,-0.4933300736842104,-0.016297818421052632,-0.0822216789473684,2.0526315789473686,1.1578947368421053,2217.128421052632,10868.995789473684,13086.124210526317,-0.06725489246965957,-0.1198435382304408
2,002672.SZ,0.18384091446683865,0.09210842660769174,0.01994782,0.009065381000000006,0.23937384,0.10878457200000008,0.03989564,0.018130762000000012,3.9,2.9,3609.1670000000004,20962.717,24571.884,0.48901579335519885,0.41243785696614493
3,002594.SZ,-0.011946002588035217,-0.0220993695280576,-0.006769337647058824,-0.01710307735294118,-0.0812320517647059,-0.20523692823529416,-0.013538675294117649,-0.03420615470588236,2.2941176470588234,1.4705882352941178,2123.630588235294,16553.687647058825,18677.31823529412,-0.02622936951321064,-0.08910243652135974
4,000063.SZ,0.07942034376423368,0.07410704118817248,0.01076164,0.008557937894736838,0.12913967999999998,0.10269525473684206,0.02152328,0.017115875789473677,1.894736842105263,1.2105263157894737,1954.0436842105264,11933.842631578947,13887.886315789472,0.3102933896571328,0.2860227977677516
5,000776.SZ,0.4339529817287387,0.5012432713910919,0.04440808500000001,0.04973931333333333,0.53289702,0.59687176,0.08881617000000001,0.09947862666666667,6.333333333333333,5.333333333333333,6119.43,34826.526666666665,40945.956666666665,0.44422227361411754,0.39394426910068786
6,000039.SZ,0.09316997641423125,0.014558406502855567,0.012237284999999999,0.0012773373076923047,0.14684741999999998,0.015328047692307657,0.024474569999999998,0.0025546746153846094,2.3846153846153846,1.5384615384615385,2591.570769230769,11981.920000000002,14573.49076923077,0.6950908970464394,0.5497048361213128
7,000756.SZ,-0.03249798266291002,-0.05280277171689653,-0.009012483620689656,-0.014693376379310345,-0.10814980344827588,-0.17632051655172415,-0.018024967241379312,-0.02938675275862069,2.413793103448276,1.5172413793103448,2301.4689655172415,14337.87275862069,16639.34172413793,-0.11274694243590935,-0.18690118464773084
8,000002.SZ,-0.023582022068183734,0.020907380708753143,-0.005129915,0.0027354575,-0.06155898,0.03282549,-0.01025983,0.005470915,3.0,2.1666666666666665,3093.716666666667,16063.613333333335,19157.329999999998,-0.20415335717320374,-0.2772911943679212
9,000157.SZ,-0.008909861600701239,0.027496690873208097,-0.00402701052631579,0.0009771850000000076,-0.04832412631578947,0.011726220000000091,-0.00805402105263158,0.001954370000000015,1.736842105263158,0.9473684210526315,2080.9336842105263,8526.762105263158,10607.695789473682,-0.03546150477837365,-0.10514136866322225
10,002202.SZ,0.12416086670741766,0.21737771436317904,0.010271692727272727,0.02060393090909092,0.12326031272727273,0.24724717090909104,0.020543385454545454,0.04120786181818184,2.3636363636363638,1.5909090909090908,2586.241363636363,13115.900909090911,15702.142272727273,0.1951440042803634,0.1482352729324821
11,000898.SZ,0.005549987874429496,-0.008200597213006307,-0.0010708584210526303,-0.0027707202631578917,-0.012850301052631564,-0.0332486431578947,-0.0021417168421052606,-0.005541440526315783,1.6842105263157894,0.7368421052631579,1522.3989473684212,10925.525263157895,12447.924210526317,0.03841339179677244,-0.044044812162168726
12,000488.SZ,0.035022780422896936,0.06034108680400934,0.00041560704545454586,0.0028039470454545475,0.00498728454545455,0.03364736454545457,0.0008312140909090917,0.005607894090909095,2.8636363636363638,1.9090909090909092,2694.931818181818,15908.374090909092,18603.305909090905,0.09843660155284872,0.0076682148193467975
13,000513.SZ,0.01382520041001073,0.017667419377274646,-0.0022988518750000006,-0.0010919743750000127,-0.027586222500000007,-0.013103692500000153,-0.004597703750000001,-0.0021839487500000254,3.25,2.25,2762.70625,18840.66875,21603.375,0.0536780280281576,-0.05325762545880127
14,000338.SZ,-0.10078926829195872,-0.05539293404977168,-0.018898548275862063,-0.013384635344827584,-0.22678257931034476,-0.160615624137931,-0.03779709655172413,-0.026769270689655168,1.5172413793103448,0.6206896551724138,1297.524827586207,10481.646206896552,11779.171034482755,-0.4727202688820482,-0.45569477910000705
15,002703.SZ,0.23092528402233395,0.3302484962973101,0.028982575000000003,0.031606865,0.3477909,0.37928238,0.05796515000000001,0.06321373,3.7142857142857144,2.7142857142857144,3259.419999999999,20967.872857142855,24227.292857142857,0.31400262517378774,0.32248566022718433
