,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,601211.SH,0.015486783559321279,0.016189394183931893,0.0061607145,0.0065563403333333365,0.073928574,0.07867608400000003,0.0308035725,0.032781701666666684,2.0833333333333335,1.1666666666666667,1239.3591666666666,10596.725833333332,11836.085000000001,0.40304582498297475,0.39207917086285365
1,601828.SH,-0.031040327760435315,-0.025635682683701488,-0.013095580800000001,-0.010789706599999997,-0.15714696960000002,-0.12947647919999997,-0.065477904,-0.053948532999999986,1.1,0.2,1040.5030000000002,6958.619000000001,7999.122,-2.004979942137291,-2.0040125078897137
2,600958.SH,0.00939314918910988,0.015910401392443766,0.0033869907692307697,0.006116116769230772,0.04064388923076924,0.07339340123076926,0.016934953846153847,0.03058058384615386,1.3076923076923077,0.46153846153846156,1259.9715384615383,7959.969999999999,9219.941538461539,0.1367378534732903,0.1239621293416142
3,601811.SH,0.018782964065185207,0.022773685713982115,0.00753640488888889,0.009015161111111112,0.09043685866666668,0.10818193333333334,0.03768202444444445,0.04507580555555556,2.962962962962963,2.111111111111111,1539.577777777778,12452.48925925926,13992.067037037039,0.3051437000377555,0.30420638871003475
4,601881.SH,-0.011210567824896881,-0.03770698903168246,-0.0051197024666666665,-0.017023661533333338,-0.061436429599999995,-0.20428393840000006,-0.025598512333333334,-0.08511830766666668,1.6,0.6333333333333333,1277.3756666666668,7105.266333333333,8382.642,-0.1247780870336405,-0.12517764578816926
5,601818.SH,0.0198995126737816,0.01138052426441224,0.008103586484848487,0.0045866475151515144,0.09724303781818185,0.05503977018181817,0.04051793242424243,0.022933237575757572,2.878787878787879,1.9696969696969697,1861.1157575757575,12908.209393939393,14769.325151515151,0.5606177528299046,0.5650620962866585
6,600999.SH,-0.03265876422476521,-0.029074846668022847,-0.014042227,-0.012256887666666666,-0.168506724,-0.14708265199999998,-0.070211135,-0.06128443833333333,1.3333333333333333,0.5,1118.5933333333335,3855.8266666666673,4974.419999999999,-1.7217087473553196,-1.75027381092912
7,600600.SH,0.031037874615141653,0.027328586787079664,0.012367052470588235,0.010681047882352936,0.1484046296470588,0.12817257458823522,0.06183526235294118,0.053405239411764685,2.5294117647058822,1.7058823529411764,1878.2870588235294,11848.802352941177,13727.089411764706,0.41189767766020063,0.4022929687682614
8,600585.SH,0.006849901255123464,0.02625720283154931,0.0024685625,0.010681327799999992,0.029622749999999996,0.1281759335999999,0.0123428125,0.053406638999999964,3.0,2.05,1750.0335,11092.1015,12842.135000000002,0.1698424395021982,0.15086660085062584
9,600362.SH,0.002202047384784478,-0.006597067839022341,0.0006221816000000003,-0.0030211166000000023,0.007466179200000003,-0.03625339920000003,0.003110908000000001,-0.015105583000000011,2.8,1.8,1785.1690000000003,9502.814,11287.983,0.04627125819200077,0.031076161448301883
