,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,0.011997015493458833,0.004553702569115242,0.009938137315789474,0.003772380210526316,0.11925764778947369,0.045268562526315795,0.09938137315789475,0.03772380210526316,1.1578947368421053,0.2631578947368421,1277.6115789473683,4832.481052631578,6110.0926315789475,0.6693414183846688,0.6664806366651769
1,002490.SZ,0.0026820985296260452,0.0037584452910131294,0.00220400025,0.0030962805000000018,0.026448003,0.03715536600000002,0.0220400025,0.030962805000000017,1.0,0.125,1498.045,5111.11125,6609.15625,0.11144144322458908,0.11014049431170617
2,002672.SZ,-0.0007787290497784927,-0.005466398964236618,-0.000648983,-0.004557412,-0.007787796,-0.054688944,-0.00648983,-0.04557412,1.0,0.0,1249.27,1966.07,3215.34,,
3,002594.SZ,0.007318188804172491,0.007863180382601179,0.0060740118888888885,0.006433974111111113,0.07288814266666666,0.07720768933333336,0.06074011888888889,0.06433974111111113,1.2222222222222223,0.2222222222222222,1261.851111111111,9085.432222222222,10347.283333333333,0.1686699779315527,0.1684525162132503
4,000063.SZ,0.009728650277978174,0.013927737826063075,0.008082899250000001,0.011579275749999996,0.09699479100000001,0.13895130899999997,0.0808289925,0.11579275749999997,2.75,1.75,2485.865,10261.3475,12747.2125,0.5929648158808297,0.5927529111909517
5,000039.SZ,-0.010587220913011897,0.00024561878100071155,-0.008838114999999999,0.000204674499999995,-0.10605737999999998,0.00245609399999994,-0.08838114999999999,0.00204674499999995,0.5,0.0,1123.7150000000001,386.97,1510.685,-32.74650813769792,-32.80512457464759
6,000756.SZ,-0.006896883995645864,-0.009758927062147565,-0.005755128,-0.008142798,-0.069061536,-0.097713576,-0.05755128,-0.08142798,1.0,0.0,1212.6775,4243.552500000001,5456.23,-0.8207497029087211,-0.8205200614760216
7,000157.SZ,-0.0026111408648719285,-0.004845496377704756,-0.0022009940000000004,-0.004057743090909091,-0.026411928000000005,-0.04869291709090909,-0.022009940000000002,-0.04057743090909091,1.2727272727272727,0.2727272727272727,1427.9781818181816,4404.470909090909,5832.44909090909,-0.15382055120206076,-0.15564769260136502
8,002202.SZ,-0.0012198268471305753,-0.004075729907054547,-0.0010234939999999998,-0.0034008779999999982,-0.012281927999999998,-0.04081053599999998,-0.010234939999999998,-0.03400877999999998,1.0,0.0,1270.7814285714285,2301.117142857143,3571.8985714285714,-0.1648217511648016,-0.16578393040662548
9,000898.SZ,-0.0004807516246750562,0.0022638567760396994,-0.00043256768749999895,0.0018663609375000015,-0.005190812249999987,0.02239633125000002,-0.00432567687499999,0.018663609375000015,1.125,0.125,919.409375,7369.499375,8288.90875,-0.027364336974791355,-0.029624493903393046
10,000488.SZ,0.0016647212554302434,0.0009805022953971825,0.0013820331111111107,0.0008144611111111099,0.016584397333333327,0.00977353333333332,0.013820331111111108,0.008144611111111099,1.4444444444444444,0.5555555555555556,1352.142222222222,5122.3677777777775,6474.51,0.2580065513075583,0.2572797266975032
11,000338.SZ,-0.003342979760648309,0.005305412776113193,-0.0028050870833333337,0.0044024947499999995,-0.033661045,0.052829936999999993,-0.02805087083333334,0.044024947499999995,1.4166666666666667,0.4166666666666667,1170.4199999999998,8785.327500000001,9955.7475,-0.20509498033100537,-0.20689920556199662
12,002703.SZ,0.013943631265495887,0.004672491964831049,0.011556209500000001,0.003842312499999999,0.13867451400000003,0.04610774999999999,0.11556209500000002,0.03842312499999999,0.75,0.25,1167.445,4910.4,6077.845,0.4480636044320183,0.44644334916467426
