,tf,tt,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,1,1,0.4338232837713106,0.0010979573720315548,0.00020859057159626753,9.127553466988952e-05,0.0025030868591552104,0.0010953064160386743,0.00020859057159626753,9.127553466988952e-05,0.0,0.0,814.553790954631,2431.602711051574,3246.156502006205,246.5046941674534,1.428929952155335
1,1,2,0.03607700978502839,0.00028690985631377533,0.0016360478442452192,4.779006956800852e-05,0.019632574130942628,0.0005734808348161022,0.0032720956884904383,9.558013913601704e-05,0.0,0.0,817.2804515484964,2429.55143548565,3246.8318870341463,73.94860794478814,20.14316867588631
2,1,3,0.009329176772276834,0.00012659133919020452,0.0011006765907653547,3.164033610115825e-05,0.013208119089184255,0.00037968403321389906,0.0033020297722960636,9.492100830347476e-05,0.0,0.0,820.3804503781322,2411.165378652482,3231.545829030614,43.0992793044325,20.348819268468095
3,1,4,0.0015909612224408514,7.126663729474338e-05,0.00010264597939663796,2.3752732837759042e-05,0.0012317517527596564,0.0002850327940531085,0.00041058391758655183,9.501093135103617e-05,0.0,0.0,820.6870004008182,2398.219340469741,3218.906340870559,13.068985522698572,2.53012431447921
4,1,5,0.000620475687800136,4.577916744513481e-05,6.552263679812848e-05,1.9073388612841575e-05,0.0007862716415775409,0.00022888066335409888,0.00032761318399064177,9.536694306420787e-05,0.0,0.0,818.4650618545397,2410.185261759754,3228.6503236142944,7.947114002600599,2.0143784570150345
5,1,6,0.0015828181724332458,2.902049656062345e-05,0.0007031919890399926,1.4509818678049692e-05,0.008438303868479914,0.00017411782413659632,0.004219151934239957,8.705891206829816e-05,0.0,0.0,821.7526619419291,2409.8717143947865,3231.6243763367156,35.77097921103997,31.785402620051283
6,1,7,0.0018092161518283552,2.1233522133682903e-05,0.0010171408807215444,1.23859957484705e-05,0.012205690568658537,0.000148631948981646,0.0071199861650508125,8.670197023929351e-05,0.0,0.0,826.6276767396314,2395.182090216881,3221.8097669565122,55.625508117130295,53.61206749005967
7,1,8,0.0010156596360300489,1.5086121905766902e-05,0.0006564168334262146,1.0057328716128633e-05,0.007877002001114575,0.0001206879445935436,0.005251334667409717,8.045862972902906e-05,0.0,0.0,822.5462396923682,2410.9239073775893,3233.4701470699574,49.68919224555655,48.171632560431775
8,1,9,0.000776432907790853,1.1943769068964243e-05,0.0005714398651398803,8.95778149987447e-06,0.006857278381678565,0.00010749337799849365,0.005142958786258923,8.062003349887025e-05,0.0,0.0,823.1674794741143,2407.079949705632,3230.2474291797453,48.05365268084663,47.15586121629438
9,1,10,-4.446670774214343e-05,9.927685390669273e-06,-4.2379397596534196e-05,8.27304872661772e-06,-0.0005085527711584117,9.927658471941263e-05,-0.00042379397596534196,8.273048726617718e-05,0.0,0.0,825.0081533889104,2371.714991865719,3196.7231452546293,-3.3749957597349085,-3.8599029800313693
10,1,11,-2.5447804486285208e-05,8.668763059598412e-06,-2.5311971661467542e-05,7.946356293633723e-06,-0.00030374365993761127,9.535627552360469e-05,-0.0002784316882761433,8.740991922997095e-05,0.0,0.0,824.2061262561274,2378.0683037207245,3202.274429976852,-2.0440495278476027,-2.2179747726869863
11,1,12,0.0005189697985499048,7.313432129498509e-06,0.0005189697985499014,7.313432129498814e-06,0.006227637582598816,8.776118555398577e-05,0.006227637582598817,8.776118555398577e-05,0.0,0.0,812.6370475816992,2475.979917806307,3288.6169653880065,48.14944981973747,48.149449819693245
12,2,1,0.6197653987486214,0.001010755106536788,0.004439390406659693,8.408839337144684e-05,0.053272684879916314,0.001009060720457362,0.004439390406659693,8.408839337144684e-05,0.0,0.0,831.1629860610096,2350.6411209642188,3181.804107025228,461.287271936439,39.77896587426464
13,2,2,0.05307051160796894,0.0002532860584660545,0.0034263831852914756,4.21982305441272e-05,0.041116598223497704,0.0005063787665295264,0.006852766370582951,8.43964610882544e-05,0.0,0.0,831.0785659735939,2363.0975905557457,3194.176156529339,157.69183882492544,61.13083341846636
14,2,3,0.01713317341263329,0.00011220269394259103,0.0026260223252740243,2.804636516425846e-05,0.03151226790328829,0.0003365563819711015,0.007878066975822072,8.413909549277538e-05,0.0,0.0,830.5587664679158,2370.1221801730617,3200.680946640977,114.25476038196884,70.06827143607926
15,2,4,0.002418004557047143,6.248659481704902e-05,0.0002664200060862663,2.0827393675464158e-05,0.003197040073035196,0.00024992872410556995,0.0010656800243450653,8.330957470185663e-05,0.0,0.0,830.014141478146,2340.510496413187,3170.5246378913325,30.88435779962534,10.21003561417717
