,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2017-01-01,0.00368576,-0.02356276,1,0,367.74,1766.80,2134.54,1.2674028668214206,-0.5385724100297883,0.020217646314521057
1,2017-03-01,-0.07377693,-0.016072830000000003,1,0,197.64,3663.18,3860.82,1.21416907274038,-0.367830753893017,0.020575993312950142
2,2017-04-01,0.12815341,-0.015539529999999996,2,1,188.95,3744.87,3933.82,1.044770850559011,-0.007693145317139827,0.02554064659145262
3,2017-05-01,0.02099966,-0.0048079299999999985,1,0,367.49,2110.57,2478.06,0.852484085725305,0.397220394394354,0.021850557122267737
4,2017-06-01,0.04106128,-0.013973989999999999,1,0,179.65,3713.80,3893.45,1.005375493208288,0.0655794724347436,0.017792933473459546
5,2017-09-01,0.03267477,-0.03385792000000001,3,2,439.21,3744.93,4184.14,0.18647731706857407,2.0725226719476746,0.02498442018003898
6,2017-10-01,-0.00435868,2.5139999999999885e-05,0,0,176.49,1975.74,2152.23,1.072596546435955,-0.027109020173623932,0.015799266702390714
7,2017-11-01,0.06607627,-0.009195489999999987,1,0,376.23,2066.50,2442.73,0.9448100799787004,0.28543631893165816,0.015887410067586913
8,2017-12-01,0.05843898,0.04226548,1,0,367.69,1828.37,2196.06,1.3035585261680795,-0.5582488337432903,0.015973608492351424
9,2018-01-01,-0.16685703,-0.006583099999999981,2,1,354.12,2047.52,2401.64,1.087427580318629,-0.03293953713105635,0.0250689759973195
10,2018-02-01,-0.00482678,1.9289999999999932e-05,0,0,147.73,2253.72,2401.45,0.8440285994090431,0.5679808889076865,0.02244586212805459
11,2018-05-01,-0.03455795,-0.003168009999999999,1,0,367.63,1924.77,2292.40,1.2577483563299194,-0.31444759530118116,0.01646686865833439
12,2018-07-01,-0.00465831,1.9840000000000135e-05,0,0,158.18,2158.97,2317.15,0.9982540953221941,0.2898300059375676,0.011964351479243168
13,2018-08-01,-0.00432235,1.3370000000000395e-05,0,0,178.77,1957.19,2135.96,1.1339852898762048,-0.03735932765215881,0.0157196058439824
14,2018-10-01,0.00177906,-0.028345560000000002,1,0,367.48,2122.21,2489.69,0.9715148140227541,0.2770085346676652,0.023099136715426544
15,2018-12-01,0.01317993,0.01725795,1,0,367.97,1455.07,1823.04,1.925098513700566,-1.8865683440711272,0.018374526268991064
16,2019-01-01,-0.00442312,8.959999999999697e-06,0,0,172.56,2015.31,2187.87,0.9332114407543255,0.28822592216140563,0.016590328900384532
17,2019-04-01,-0.01845634,5.659999999997611e-06,0,0,194.13,1806.36,2000.49,1.1408605719525884,-0.2558642369050981,0.012905273348650182
18,2019-06-01,-0.05593735,0.015360490000000004,1,0,230.69,3664.03,3894.72,1.5492363672251876,-1.178623519990115,0.02186544867753182
19,2019-07-01,0.10597209,0.03706761,1,0,207.87,3703.41,3911.28,1.2213944567991548,-0.4776629293874082,0.017935337804703907
20,2019-11-01,-0.05317974,-0.020148870000000006,1,0,214.71,3633.58,3848.29,1.4814687110752334,-0.9049113749358788,0.02336730479212094
21,2019-12-01,0.06722895,-0.0011922600000000005,1,0,374.21,1986.41,2360.62,0.9466485128419138,0.16660389095330252,0.017597378877951264
22,2020-04-01,0.03346258,3.269999999999662e-06,0,0,188.39,1866.94,2055.33,0.8953753865617355,0.04227606182772427,0.020769676186458422
23,2020-06-01,-0.01553674,-0.00926735,1,0,367.77,1723.01,2090.78,1.1074267785660408,-0.30459489053294564,0.020447389847916015
24,2020-08-01,-0.00357212,1.270000000000264e-06,0,0,224.98,1503.61,1728.59,1.3389882884086575,-0.7197667104873986,0.0175709311257065
25,2020-09-01,-0.00340568,5.840000000000012e-06,0,0,235.22,1402.10,1637.32,1.6525723259366956,-1.31040641026443,0.023246157809444914
26,2020-10-01,-0.00332464,6.750000000000245e-06,0,0,240.15,1351.82,1591.97,2.1079177760355714,-2.159587551780654,0.025954301377100232
27,2020-11-01,-0.00041283,-0.00549147,1,0,368.07,1320.96,1689.03,2.1234784187857656,-2.1814777990137726,0.029156186087576353
28,2021-01-01,0.17283331,0.04727071999999999,1,0,380.42,1897.63,2278.05,1.1471225700971215,-0.14267551788375465,0.02385904147093567
29,2021-02-01,0.02139042,-0.05319924,1,0,176.93,3659.55,3836.48,1.020987642891742,0.10504413082855679,0.025750541187700666
30,2021-03-01,-0.00456967,1.5970000000000567e-05,0,0,163.60,2101.90,2265.50,0.9614137840306243,0.22950266723345925,0.035574562981792714
31,2021-04-01,0.0792909,0.040116349999999995,2,1,372.59,2048.00,2420.59,1.0988467407957494,-0.08304591977938616,0.04101898965634987
32,2021-06-01,-0.07214595,0.028268180000000004,1,0,367.27,2411.01,2778.28,0.6272633153821398,1.0449448296170103,0.019054011790296022
33,2021-07-01,-0.03840505,-0.03196162,1,0,367.34,2304.11,2671.45,0.6651345366089663,0.9481359970426375,0.022003834181526332
34,2021-08-01,-0.06943545,-0.012590629999999998,1,0,169.45,3658.27,3827.72,0.8536084675124845,0.46902172098615375,0.0401876941411781
35,2022-02-01,-0.04509677,-0.006119920000000001,1,0,373.73,1788.53,2162.26,1.151990397662552,-0.3029491572995111,0.02954137540926222
36,2022-06-01,-0.09926717,0.012572810000000004,2,1,373.54,1340.46,1714.00,1.995687503918532,-2.1067835775066275,0.03760179093154872
37,2022-07-01,-0.01648442,-0.01066891,1,0,202.54,3676.08,3878.62,1.1338592021343055,-0.31040784410171085,0.015974955977629025
38,2022-09-01,-0.01846373,-0.03194298,1,0,256.96,3666.12,3923.08,1.7867377419740205,-1.6656848757771368,0.021372366151959095
39,2022-10-01,0.03555595,0.03618513,1,0,264.71,3727.77,3992.48,2.3662541167152,-2.793531549341221,0.02697489204680753
40,2022-11-01,0.0080692,-0.009691259999999998,1,0,368.27,1040.24,1408.51,2.5214676206457343,-3.097283151579309,0.02508343089307637
41,2023-01-01,-0.03135217,-0.01350229,1,0,209.25,3663.80,3873.05,1.2228034857964503,-0.4878579932747749,0.019836588882792577
