,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2021-06-01,0.06602596,-0.11635332000000001,6,5,6040.18,35761.10,41801.28,0.8681305373012531,-0.6363504244391294,0.035402301591844675
1,2021-08-01,0.00220899,0.09408575999999999,2,1,2526.69,10567.67,13094.36,1.6105433794454793,-3.605887989621839,0.028397283795270612
2,2021-10-01,-0.02414498,-0.0865568,2,1,2125.59,11190.65,13316.24,0.3919318449579904,1.281463430392153,0.025793651647459233
3,2021-12-01,0.03960175,0.13093272,1,0,1201.13,7279.57,8480.70,0.17563673908971483,2.224086412180987,0.03328633150524392
4,2022-03-01,-0.09731738,-0.050942169999999995,1,0,1138.92,6859.68,7998.60,0.9208293806459369,-0.7138721771728651,0.03681282089484122
5,2022-05-01,-0.04510287,-0.018689650000000002,2,1,1593.85,10026.26,11620.11,0.9214070720445768,-0.78429634961714,0.02098048003080023
6,2022-07-01,-0.06459746,-0.001782350000000002,1,0,1179.11,1829.05,3008.16,1.5190255947514308,-3.095975150376626,0.02999087344277157
7,2022-09-01,0.02943784,-0.04080564,3,2,2250.93,11627.27,13878.20,0.9433339211903227,-0.9429579615668109,0.021005130276642046
8,2022-10-01,-0.00217382,2.8719999999999874e-05,0,0,1031.88,1141.94,2173.82,1.9757716583734837,-4.617243621983601,0.025199121113828927
9,2023-03-01,-0.00245624,3.943000000000002e-05,0,0,973.52,1482.72,2456.24,1.3849481518285942,-2.41162420814233,0.02192776517412963
