,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2009-04-01,0.00722596,-0.02091708,1,0,1251.33,2715.91,3967.24,0.970662401783716,-1.1348339858538785,0.04574489784219956
1,2009-05-01,0.21677194,0.15990003,1,0,1303.61,8227.83,9531.44,1.1615134944415018,-1.5599860849503642,0.05363823077020799
2,2009-09-01,-0.0411272,-0.09667033,1,0,1042.22,7302.98,8345.20,0.67985469266144,-0.23842517575463754,0.026031866160934586
3,2010-02-01,0.00302271,8.900000000000054e-06,0,0,831.95,2326.39,3158.34,0.7689878413432214,-0.5032525361646396,0.023318838629910986
4,2010-03-01,-0.03716949,7.199999999998874e-06,0,0,392.62,4745.53,5138.15,0.1846419438683613,0.8562267357143609,0.026433607119184507
5,2010-05-01,0.09376412,0.06986672000000001,1,0,1340.01,10610.22,11950.23,-0.010281685736645008,1.207858547024967,0.02153889320672664
6,2010-07-01,0.10648396,-0.0023749899999999935,1,0,788.30,7775.78,8564.08,0.41194901699409725,0.3983316463932487,0.030418510691180307
7,2011-02-01,0.01657974,6.569999999997411e-06,0,0,931.07,1803.83,2734.90,1.425179882216589,-1.6933003729296088,0.03392647675004538
8,2011-04-01,0.00041413,0.01638744,1,0,675.67,7298.39,7974.06,0.41973477024192984,0.49995709678821676,0.028465656810961294
9,2011-05-01,0.04885772,0.0934732,1,0,1237.49,6154.59,7392.08,0.3856946702268648,0.5711955904461504,0.02413328117994857
10,2011-06-01,-0.05276537,0.05310109,2,1,1553.66,14206.44,15760.10,0.2627257119525057,0.8055213087617079,0.02382408276936043
11,2011-07-01,0.01359385,0.09122783000000001,1,0,1201.01,3137.06,4338.07,1.2106110234444443,-1.0485949868891125,0.03495895026114829
12,2012-01-01,0.07204273,0.08294736,1,0,1273.50,4074.05,5347.55,1.0558820940588116,-0.5490413140280328,0.032488914873672316
13,2013-08-01,-0.00632893,2.2199999999998263e-06,0,0,169.75,6159.18,6328.93,0.10208113556193565,0.8322833251516768,0.019143117061603133
14,2013-10-01,-0.0174066,-0.09230708000000001,1,0,1275.61,7467.89,8743.50,0.3201968163580363,0.5125725741132692,0.016300245132204193
15,2013-11-01,-0.05193964,0.017997240000000005,2,1,1537.02,12423.04,13960.06,0.6385487457975748,0.07560342073175617,0.017198518923529596
16,2014-05-01,-0.01742869,-0.03336065,1,0,1233.50,4637.94,5871.44,0.9698595406347215,-0.32674928250432345,0.027988853107586233
17,2014-07-01,0.00973772,-0.04814087,1,0,1145.44,7537.78,8683.22,1.8319917558096162,-1.4597491131747378,0.021331669007357293
