,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2012-08-01,0.13241166,0.10277684999999999,5,4,2401.53,19519.45,21920.98,0.5907104114383008,-0.7679809782639353,0.03583045704432618
1,2012-09-01,-0.03886244,-0.03669083,4,3,3173.04,19612.90,22785.94,0.5459490515583942,-0.6011013387469699,0.017022630155813696
2,2012-10-01,0.00360616,-0.0103182,1,0,1242.36,2521.50,3763.86,0.2993771121638966,0.39343374589041247,0.018019485837521335
3,2012-11-01,-0.02784382,-0.016391919999999997,1,0,935.75,7157.69,8093.44,0.14587367331290846,1.0449308851030032,0.01248943474911488
4,2013-03-01,-0.01423748,0.08279797,3,2,2954.28,17881.84,20836.12,0.763382084998443,-1.1925045929374063,0.03243457205873039
5,2013-08-01,0.01546252,-0.05036033,3,2,3125.98,19163.30,22289.28,0.8438320166622365,-1.5265611625983861,0.019367672968372548
6,2013-10-01,-0.02618482,-0.04305491,1,0,1471.64,7316.05,8787.69,0.9991367285610631,-2.3015983366659647,0.023796874976973022
7,2014-05-01,-0.02050775,-0.003225870000000002,1,0,1216.38,1238.02,2454.40,1.0972596792069673,-2.3733402373912043,0.025355586895405752
8,2015-03-01,0.16099044,2.0619999999998972e-05,0,0,965.60,2222.69,3188.29,0.286166906047967,1.118600465876881,0.017471875544007243
9,2016-03-01,0.04205778,-0.0017172899999999963,2,1,1274.63,1755.39,3030.02,0.38502915800219917,0.6433130400860207,0.025428621931408636
10,2016-10-01,0.0175212,-0.003844359999999998,4,3,4426.23,22653.49,27079.72,1.13881348939897,-2.788823732671858,0.018473185394496532
