,2021-08-01,2022-03-01,2022-07-01,2022-09-01,2022-11-01,2023-02-01
0,0.02244198934517927,0.012976069388737521,-0.013413303358662643,-0.019119774203419926,-0.008431101009748643,-0.01063473571611473
1,-0.006725516898938855,0.035627494074347954,-0.051215432791699045,-0.024974320973083053,-0.023596201712197673,0.05901261956994941
2,-0.05397484936474939,0.023308724365135536,,-0.028641477660041215,-0.02841314721254662,
3,-0.0031640046102208164,0.031522955046718426,,-0.024085302339914794,0.00878412479872881,
4,-0.020500924256871667,0.034808543271427794,,-0.012925497436045763,-0.0062072557880490375,
5,-0.014409972613016242,0.025991711294562903,,0.0212659531937196,-0.01622822643024846,
6,-0.03741497596760368,0.07439331742334598,,0.038475133164509234,-0.0005225435511356791,
7,-0.04602084160364095,,,,0.015569125300351372,
8,-0.07295139300110431,,,,0.04960758923676156,
9,,,,,0.04300863519278053,
10,,,,,0.0032565175163241644,
11,,,,,-0.0070373677673928325,
12,,,,,-0.004261436022353182,
13,,,,,-0.005285120998171244,
14,,,,,-0.04440468346869286,
15,,,,,-0.04359314689632876,
16,,,,,-0.0362367893473049,
17,,,,,-0.03235010362842383,
18,,,,,-0.019894940884523482,
19,,,,,-0.017000041853648673,
20,,,,,-0.04458347089948134,
21,,,,,-0.011606924785381056,
22,,,,,0.017738663340954086,
23,,,,,-0.009333836230736692,
24,,,,,0.009821022400269275,
25,,,,,0.0028130783611084453,
26,,,,,-0.016948394439217473,
27,,,,,-0.009914139348991213,
28,,,,,-0.03094527142103143,
29,,,,,-0.038513853376504814,
30,,,,,-0.03438845890424258,
31,,,,,-0.0326210386856145,
32,,,,,-0.035012377259433625,
33,,,,,-0.01836133645726412,
34,,,,,0.009965029220412869,
35,,,,,0.0012631747826268303,
36,,,,,-0.015036862834363673,
