,Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Ipodt,Crcd,Commnt
2957,600011,华能国际,2001-12-06,10,华能国际电力股份有限公司,Huaneng Power International Inc.,2001-11-15,,902.0
2958,600012,皖通高速,2003-01-07,10,安徽皖通高速公路股份有限公司,Anhui Expressway Company Limited,2002-12-23,,995.0
2960,600016,民生银行,2000-12-19,10,中国民生银行股份有限公司,"China Minsheng Banking Corp., Ltd.",2000-11-27,,1988.0
2969,600026,中远海能,2002-05-23,10,中远海运能源运输股份有限公司,"COSCO SHIPPING Energy Transportation Co., Ltd.",2002-05-13,,1138.0
2970,600027,华电国际,2005-02-03,10,华电国际电力股份有限公司,Huadian Power International Corporation Limited,2005-01-24,,1071.0
2971,600028,中国石化,2001-08-08,10,中国石油化工股份有限公司,China Petroleum & Chemical Corporation,2001-07-16,,386.0
2972,600029,南方航空,2003-07-25,10,中国南方航空股份有限公司,China Southern Airlines Company Limited,2003-07-10,,1055.0
2973,600030,中信证券,2003-01-06,10,中信证券股份有限公司,"CITIC Securities Co., Ltd.﻿",2002-12-17,,6030.0
2978,600036,招商银行,2002-04-09,10,招商银行股份有限公司,"China Merchants Bank Co., Ltd.",2002-03-27,,3968.0
3048,600115,中国东航,1997-11-05,10,中国东方航空股份有限公司,China Eastern Airlines Corporation Limited,1997-10-24,,670.0
3112,600188,兖矿能源,1998-07-01,10,兖矿能源集团股份有限公司,Yankuang Energy Group Company Limited,1998-06-08,,1171.0
3119,600196,复星医药,1998-08-07,10,上海复星医药(集团)股份有限公司,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",1998-06-25,,2196.0
3243,600332,白云山,2001-02-06,10,广州白云山医药集团股份有限公司,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,2001-01-10,,874.0
3267,600362,江西铜业,2002-01-11,10,江西铜业股份有限公司,Jiangxi Copper Co. Ltd.,2001-12-21,,358.0
3280,600377,宁沪高速,2001-01-16,10,江苏宁沪高速公路股份有限公司,Jiangsu Expressway Company Limited,2000-12-22,,177.0
3408,600547,山东黄金,2003-08-28,10,山东黄金矿业股份有限公司,"Shandong Gold Mining Co., Ltd.",2003-08-13,,1787.0
3409,600548,深高速,2001-12-25,10,深圳高速公路集团股份有限公司,Shenzhen Expressway Corporation Limited,2001-12-06,,548.0
3443,600585,海螺水泥,2002-02-07,10,安徽海螺水泥股份有限公司,Anhui Conch Cement Company Limited,2002-01-24,,914.0
3458,600600,青岛啤酒,1993-08-27,10,青岛啤酒股份有限公司,"Tsingtao Brewery Co., Ltd.",1993-07-24,,168.0
3493,600635,大众公用,1993-03-04,10,上海大众公用事业(集团)股份有限公司,"Shanghai Dazhong Public Utilities (Group) Co., Ltd.",1991-12-08,,1635.0
3518,600660,福耀玻璃,1993-06-10,10,福耀玻璃工业集团股份有限公司,"Fuyao Glass Industry Group Co., Ltd.",1991-08-22,,3606.0
3543,600685,中船防务,1993-10-28,10,中船海洋与防务装备股份有限公司,CSSC Offshore & Marine Engineering (Group) Company Limited,1993-09-22,,317.0
