,Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Ipodt,Crcd,Commnt
1,2,万科A,1991-01-29,10,万科企业股份有限公司,"China Vanke Co., Ltd.",1988-12-28,,2202.0
38,39,中集集团,1994-04-08,10,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",1994-02-01,,2039.0
55,63,中兴通讯,1997-11-18,10,中兴通讯股份有限公司,ZTE Corporation,1997-10-06,,763.0
73,157,中联重科,2000-10-12,10,中联重科股份有限公司,"Zoomlion Heavy Industry Science & Technology Co., Ltd.",2000-09-15,,1157.0
76,166,申万宏源,2015-01-26,10,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co., Ltd.",2015-01-25,,6806.0
79,338,潍柴动力,2007-04-30,10,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",2007-04-30,,2338.0
108,488,晨鸣纸业,2000-11-20,10,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Ltd.,2000-11-02,200488.0,1812.0
121,513,丽珠集团,1993-10-28,10,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,1993-09-16,,1513.0
324,756,新华制药,1997-08-06,10,山东新华制药股份有限公司,Shandong Xinhua Pharmaceutical Company Limited,1997-07-24,,719.0
337,776,广发证券,1997-06-11,10,广发证券股份有限公司,"GF Securities Co., Ltd.",1997-05-14,,1776.0
425,898,鞍钢股份,1997-12-25,10,鞍钢股份有限公司,"Angang Steel Co., Ltd.",1997-11-17,,347.0
445,921,海信家电,1999-07-13,10,海信家电集团股份有限公司,"Hisense Home Appliances Group Co., Ltd.",1999-06-02,,921.0
533,1236,弘业期货,2022-08-05,10,弘业期货股份有限公司,"Holly Futures Co., Ltd.",2022-07-27,,3678.0
550,1289,龙源电力,2022-01-24,10,龙源电力集团股份有限公司,China Longyuan Power Group Corporation Limited,2022-01-21,,916.0
787,2202,金风科技,2007-12-26,10,新疆金风科技股份有限公司,"Xinjiang Goldwind Science & Technology Co., Ltd.",2007-12-14,,2208.0
983,2399,海普瑞,2010-05-06,10,深圳市海普瑞药业集团股份有限公司,"Shenzhen Hepalink Pharmaceutical Group Co., Ltd.",2010-04-26,,9989.0
1044,2460,赣锋锂业,2010-08-10,10,江西赣锋锂业集团股份有限公司,"Ganfeng Lithium Group Co., Ltd.",2010-07-28,,1772.0
1050,2466,天齐锂业,2010-08-31,10,天齐锂业股份有限公司,Tianqi Lithium Corporation,2010-08-18,,
1074,2490,山东墨龙,2010-10-21,10,山东墨龙石油机械股份有限公司,Shandong Molong Petroleum Machinery Company Limited,2010-10-11,,568.0
1177,2594,比亚迪,2011-06-30,10,比亚迪股份有限公司,BYD Company Limited,2011-06-21,,1211.0
1255,2672,东江环保,2012-04-26,10,东江环保股份有限公司,Dongjiang Environmental Company Limited,2012-04-17,,895.0
1286,2703,浙江世宝,2012-11-02,10,浙江世宝股份有限公司,Zhejiang Shibao Company Limited,2012-10-26,,1057.0
1394,2821,凯莱英,2016-11-18,10,凯莱英医药集团(天津)股份有限公司,"Asymchem Laboratories (Tianjin) Co., Ltd.",2016-11-09,,6821.0
1500,2936,郑州银行,2018-09-19,10,郑州银行股份有限公司,"Bank of Zhengzhou Co., Ltd.",2018-09-07,,6196.0
1511,2948,青岛银行,2019-01-16,10,青岛银行股份有限公司,"Bank of Qingdao Co., Ltd.",2019-01-04,,3866.0
1600,3816,中国广核,2019-08-26,10,中国广核电力股份有限公司,"CGN Power Co.,Ltd.",2019-08-12,,1816.0
2006,300347,泰格医药,2012-08-17,10,杭州泰格医药科技股份有限公司,"Hangzhou Tigermed Consulting Co., Ltd.",2012-08-07,,3347.0
2397,300748,金力永磁,2018-09-21,10,江西金力永磁科技股份有限公司,"JL MAG Rare Earth Co., Ltd.",2018-09-06,,6680.0
2407,300759,康龙化成,2019-01-28,10,康龙化成(北京)新药技术股份有限公司,"Pharmaron (Beijing) New Drug Technology Co., Ltd.",2019-01-15,,3759.0
2673,301039,中集车辆,2021-07-08,10,中集车辆(集团)股份有限公司,"CIMC Vehicles (Group) Co., Ltd.",2021-06-29,,1839.0
