证券代码,证券名称,同公司港股代码,同公司港股简称
601211.SH,国泰君安,02611.HK,国泰君安
601828.SH,美凯龙,01528.HK,红星美凯龙
600958.SH,东方证券,03958.HK,东方证券
601811.SH,新华文轩,00811.HK,新华文轩
002821.SZ,凯莱英,06821.HK,凯莱英
601881.SH,中国银河,06881.HK,中国银河
601868.SH,中国能建,03996.HK,中国能源建设
000921.SZ,海信家电,00921.HK,海信家电
601818.SH,光大银行,06818.HK,中国光大银行
600999.SH,招商证券,06099.HK,招商证券
600600.SH,青岛啤酒,00168.HK,青岛啤酒股份
600585.SH,海螺水泥,00914.HK,海螺水泥
002490.SZ,山东墨龙,00568.HK,山东墨龙
002672.SZ,东江环保,00895.HK,东江环保
002594.SZ,比亚迪,01211.HK,比亚迪股份
600362.SH,江西铜业,00358.HK,江西铜业股份
000063.SZ,中兴通讯,00763.HK,中兴通讯
600012.SH,皖通高速,00995.HK,安徽皖通高速公路
600548.SH,深高速,00548.HK,深圳高速公路股份
601788.SH,光大证券,06178.HK,光大证券
601688.SH,华泰证券,06886.HK,HTSC
601398.SH,工商银行,01398.HK,工商银行
601939.SH,建设银行,00939.HK,建设银行
000776.SZ,广发证券,01776.HK,广发证券
600808.SH,马钢股份,00323.HK,马鞍山钢铁股份
600029.SH,南方航空,01055.HK,中国南方航空股份
000039.SZ,中集集团,02039.HK,中集集团
600547.SH,山东黄金,01787.HK,山东黄金
601288.SH,农业银行,01288.HK,农业银行
600026.SH,中远海能,01138.HK,中远海能
600028.SH,中国石化,00386.HK,中国石油化工股份
600196.SH,复星医药,02196.HK,复星医药
600377.SH,宁沪高速,00177.HK,江苏宁沪高速公路
600115.SH,中国东航,00670.HK,中国东方航空股份
600690.SH,XD海尔智,06690.HK,海尔智家
600036.SH,招商银行,03968.HK,招商银行
601991.SH,XD大唐发,00991.HK,大唐发电
600030.SH,XD中信证,06030.HK,中信证券
600688.SH,上海石化,00338.HK,上海石油化工股份
601328.SH,交通银行,03328.HK,交通银行
600027.SH,华电国际,01071.HK,华电国际电力股份
601998.SH,中信银行,00998.HK,中信银行
600685.SH,中船防务,00317.HK,中船防务
601988.SH,中国银行,03988.HK,中国银行
000756.SZ,新华制药,00719.HK,山东新华制药股份
000002.SZ,万  科A,02202.HK,万科企业
601588.SH,北辰实业,00588.HK,北京北辰实业股份
600011.SH,华能国际,00902.HK,华能国际电力股份
600801.SH,华新水泥,06655.HK,华新水泥
600660.SH,福耀玻璃,03606.HK,福耀玻璃
601866.SH,中远海发,02866.HK,中远海发
601899.SH,紫金矿业,02899.HK,紫金矿业
600837.SH,海通证券,06837.HK,海通证券
600332.SH,白云山,00874.HK,白云山
000157.SZ,中联重科,01157.HK,中联重科
601633.SH,长城汽车,02333.HK,长城汽车
600775.SH,南京熊猫,00553.HK,南京熊猫电子股份
601336.SH,新华保险,01336.HK,新华保险
601318.SH,中国平安,02318.HK,中国平安
601601.SH,中国太保,02601.HK,中国太保
600016.SH,民生银行,01988.HK,民生银行
601628.SH,中国人寿,02628.HK,中国人寿
601618.SH,中国中冶,01618.HK,中国中冶
601390.SH,中国中铁,00390.HK,中国中铁
601800.SH,中国交建,01800.HK,中国交通建设
601992.SH,金隅集团,02009.HK,金隅集团
601238.SH,广汽集团,02238.HK,广汽集团
002202.SZ,金风科技,02208.HK,金风科技
601186.SH,中国铁建,01186.HK,中国铁建
601766.SH,中国中车,01766.HK,中国中车
601898.SH,中煤能源,01898.HK,中煤能源
601808.SH,中海油服,02883.HK,中海油田服务
601717.SH,郑煤机,00564.HK,郑煤机
002466.SZ,天齐锂业,09696.HK,天齐锂业
002460.SZ,赣锋锂业,01772.HK,赣锋锂业
601888.SH,中国中免,01880.HK,中国中免
002399.SZ,海普瑞,09989.HK,海普瑞
601919.SH,中远海控,01919.HK,中远海控
000898.SZ,鞍钢股份,00347.HK,鞍钢股份
603993.SH,洛阳钼业,03993.HK,洛阳钼业
688366.SH,昊海生科,06826.HK,昊海生物科技
601326.SH,秦港股份,03369.HK,秦港股份
600875.SH,东方电气,01072.HK,东方电气
601607.SH,上海医药,02607.HK,上海医药
600860.SH,京城股份,00187.HK,京城机电股份
600871.SH,石化油服,01033.HK,中石化油服
601880.SH,辽港股份,02880.HK,辽港股份
600874.SH,创业环保,01065.HK,天津创业环保股份
601857.SH,中国石油,00857.HK,中国石油股份
601005.SH,重庆钢铁,01053.HK,重庆钢铁股份
000488.SZ,晨鸣纸业,01812.HK,晨鸣纸业
601333.SH,广深铁路,00525.HK,广深铁路股份
601727.SH,上海电气,02727.HK,上海电气
601107.SH,四川成渝,00107.HK,四川成渝高速公路
000513.SZ,丽珠集团,01513.HK,丽珠医药
601111.SH,中国国航,00753.HK,中国国航
601600.SH,中国铝业,02600.HK,中国铝业
600635.SH,大众公用,01635.HK,大众公用
300347.SZ,泰格医药,03347.HK,泰格医药
601038.SH,一拖股份,00038.HK,第一拖拉机股份
601088.SH,中国神华,01088.HK,中国神华
000338.SZ,潍柴动力,02338.HK,潍柴动力
002703.SZ,浙江世宝,01057.HK,浙江世宝
601865.SH,福莱特,06865.HK,福莱特玻璃
603127.SH,昭衍新药,06127.HK,昭衍新药
601375.SH,中原证券,01375.HK,中州证券
