"代码","简称","时间","开盘价(元)"
"HKDCNY.EX","港币中间价","2002-04-02","1.0608"
"HKDCNY.EX","港币中间价","2002-04-03","1.0607"
"HKDCNY.EX","港币中间价","2002-04-04","1.0607"
"HKDCNY.EX","港币中间价","2002-04-05","1.0606"
"HKDCNY.EX","港币中间价","2002-04-08","1.0606"
"HKDCNY.EX","港币中间价","2002-04-09","1.0606"
"HKDCNY.EX","港币中间价","2002-04-10","1.0606"
"HKDCNY.EX","港币中间价","2002-04-11","1.0605"
"HKDCNY.EX","港币中间价","2002-04-12","1.0605"
"HKDCNY.EX","港币中间价","2002-04-15","1.0605"
"HKDCNY.EX","港币中间价","2002-04-16","1.0605"
"HKDCNY.EX","港币中间价","2002-04-17","1.0605"
"HKDCNY.EX","港币中间价","2002-04-18","1.0606"
"HKDCNY.EX","港币中间价","2002-04-19","1.0605"
"HKDCNY.EX","港币中间价","2002-04-22","1.0607"
"HKDCNY.EX","港币中间价","2002-04-23","1.0606"
"HKDCNY.EX","港币中间价","2002-04-24","1.0606"
"HKDCNY.EX","港币中间价","2002-04-25","1.0606"
"HKDCNY.EX","港币中间价","2002-04-26","1.0606"
"HKDCNY.EX","港币中间价","2002-04-27","1.0606"
"HKDCNY.EX","港币中间价","2002-04-28","1.0605"
"HKDCNY.EX","港币中间价","2002-04-29","1.0606"
"HKDCNY.EX","港币中间价","2002-04-30","1.0606"
"HKDCNY.EX","港币中间价","2002-05-08","1.0606"
"HKDCNY.EX","港币中间价","2002-05-09","1.0606"
"HKDCNY.EX","港币中间价","2002-05-10","1.0606"
"HKDCNY.EX","港币中间价","2002-05-13","1.0606"
"HKDCNY.EX","港币中间价","2002-05-14","1.0607"
"HKDCNY.EX","港币中间价","2002-05-15","1.0607"
"HKDCNY.EX","港币中间价","2002-05-16","1.0606"
"HKDCNY.EX","港币中间价","2002-05-17","1.0606"
"HKDCNY.EX","港币中间价","2002-05-20","1.0606"
"HKDCNY.EX","港币中间价","2002-05-21","1.0606"
"HKDCNY.EX","港币中间价","2002-05-22","1.0607"
"HKDCNY.EX","港币中间价","2002-05-23","1.0606"
"HKDCNY.EX","港币中间价","2002-05-24","1.0605"
"HKDCNY.EX","港币中间价","2002-05-27","1.0605"
"HKDCNY.EX","港币中间价","2002-05-28","1.0606"
"HKDCNY.EX","港币中间价","2002-05-29","1.0605"
"HKDCNY.EX","港币中间价","2002-05-30","1.0605"
"HKDCNY.EX","港币中间价","2002-05-31","1.0605"
"HKDCNY.EX","港币中间价","2002-06-03","1.0604"
"HKDCNY.EX","港币中间价","2002-06-04","1.0605"
"HKDCNY.EX","港币中间价","2002-06-05","1.0606"
"HKDCNY.EX","港币中间价","2002-06-06","1.0606"
"HKDCNY.EX","港币中间价","2002-06-07","1.0605"
"HKDCNY.EX","港币中间价","2002-06-10","1.0607"
"HKDCNY.EX","港币中间价","2002-06-11","1.0605"
"HKDCNY.EX","港币中间价","2002-06-12","1.0605"
"HKDCNY.EX","港币中间价","2002-06-13","1.0606"
"HKDCNY.EX","港币中间价","2002-06-14","1.0607"
"HKDCNY.EX","港币中间价","2002-06-17","1.0607"
"HKDCNY.EX","港币中间价","2002-06-18","1.0607"
"HKDCNY.EX","港币中间价","2002-06-19","1.0606"
"HKDCNY.EX","港币中间价","2002-06-20","1.0606"
"HKDCNY.EX","港币中间价","2002-06-21","1.0607"
"HKDCNY.EX","港币中间价","2002-06-24","1.0605"
"HKDCNY.EX","港币中间价","2002-06-25","1.0605"
"HKDCNY.EX","港币中间价","2002-06-26","1.0606"
"HKDCNY.EX","港币中间价","2002-06-27","1.0606"
"HKDCNY.EX","港币中间价","2002-06-28","1.0606"
"HKDCNY.EX","港币中间价","2002-07-01","1.0606"
"HKDCNY.EX","港币中间价","2002-07-02","1.0606"
"HKDCNY.EX","港币中间价","2002-07-03","1.0606"
"HKDCNY.EX","港币中间价","2002-07-04","1.0605"
"HKDCNY.EX","港币中间价","2002-07-05","1.0605"
"HKDCNY.EX","港币中间价","2002-07-08","1.0605"
"HKDCNY.EX","港币中间价","2002-07-09","1.0605"
"HKDCNY.EX","港币中间价","2002-07-10","1.0605"
"HKDCNY.EX","港币中间价","2002-07-11","1.0605"
"HKDCNY.EX","港币中间价","2002-07-12","1.0605"
"HKDCNY.EX","港币中间价","2002-07-15","1.0605"
"HKDCNY.EX","港币中间价","2002-07-16","1.0606"
"HKDCNY.EX","港币中间价","2002-07-17","1.0605"
"HKDCNY.EX","港币中间价","2002-07-18","1.0606"
"HKDCNY.EX","港币中间价","2002-07-19","1.0607"
"HKDCNY.EX","港币中间价","2002-07-22","1.0608"
"HKDCNY.EX","港币中间价","2002-07-23","1.0608"
"HKDCNY.EX","港币中间价","2002-07-24","1.0608"
"HKDCNY.EX","港币中间价","2002-07-25","1.0608"
"HKDCNY.EX","港币中间价","2002-07-26","1.0608"
"HKDCNY.EX","港币中间价","2002-07-29","1.0607"
"HKDCNY.EX","港币中间价","2002-07-30","1.0608"
"HKDCNY.EX","港币中间价","2002-07-31","1.0608"
"HKDCNY.EX","港币中间价","2002-08-01","1.0608"
"HKDCNY.EX","港币中间价","2002-08-02","1.0607"
"HKDCNY.EX","港币中间价","2002-08-05","1.0608"
"HKDCNY.EX","港币中间价","2002-08-06","1.0608"
"HKDCNY.EX","港币中间价","2002-08-07","1.0607"
"HKDCNY.EX","港币中间价","2002-08-08","1.0607"
"HKDCNY.EX","港币中间价","2002-08-09","1.0608"
"HKDCNY.EX","港币中间价","2002-08-12","1.0609"
"HKDCNY.EX","港币中间价","2002-08-13","1.0609"
"HKDCNY.EX","港币中间价","2002-08-14","1.0607"
"HKDCNY.EX","港币中间价","2002-08-15","1.0608"
"HKDCNY.EX","港币中间价","2002-08-16","1.0608"
"HKDCNY.EX","港币中间价","2002-08-19","1.0608"
"HKDCNY.EX","港币中间价","2002-08-20","1.0607"
