,PA,nA,PH,Exchange,nH,OpeningTimes,re,ClosingTimes,cash,ATF,
0,25.0233,39835,16.0981,0.8814,0,1,0.111968237,0,19.45,1868.89,996822.6055
1,25.7763,39835,16.5695,0.8812,0,1,0.106898828,0,19.45,1868.89,1026818.361
2,25.9037,39835,16.0464,0.8811,0,1,0.069176979,0,19.45,1868.89,1031893.34
3,25.8922,39835,16.8803,0.8814,0,1,0.120347925,0,19.45,1868.89,1031435.237
4,26.8885,39835,18.5878,0.8815,0,1,0.173493839,0,19.45,1868.89,1071122.848
5,26.4135,39835,17.8605,0.8819,0,1,0.153978642,0,19.45,1868.89,1052201.223
6,25.5214,39835,17.7655,0.8819,0,1,0.187967621,0,19.45,1868.89,1016664.419
7,26.4251,39835,18.3515,0.8816,0,1,0.180595874,0,19.45,1868.89,1052663.309
8,25.8922,39835,18.1892,0.8817,0,1,0.195028674,0,19.45,1868.89,1031435.237
9,25.4288,39835,19.5341,0.8815,0,1,0.287031025,0,19.45,1868.89,1012975.698
10,24.919,39835,18.7122,0.8818,0,1,0.267223022,0,19.45,1868.89,992667.815
11,24.9422,39835,17.7702,0.8821,0,1,0.214505161,0,19.45,1868.89,993591.987
12,24.919,39835,17.6457,0.8818,0,1,0.208539432,0,19.45,1868.89,992667.815
13,25.4056,39835,17.9957,0.8815,0,1,0.20604686,0,19.45,1868.89,1012051.526
14,25.7879,39835,17.1947,0.8817,0,1,0.143421436,0,19.45,1868.89,1027280.447
15,26.5293,39835,17.0503,0.8816,0,1,0.102548271,0,19.45,1868.89,1056814.116
16,25.4751,39835,16.5783,0.8817,0,1,0.120882029,0,19.45,1868.89,1014820.059
17,25.3477,39835,16.4081,0.8815,0,1,0.116300424,0,19.45,1868.89,1009745.08
18,26.2745,39835,16.7434,0.8817,0,1,0.095429939,0,19.45,1868.89,1046664.158
19,26.1265,39835,17.0033,0.8816,0,1,0.117298162,0,19.45,1868.89,1040768.578
20,25.5945,39835,17.1661,0.8815,0,1,0.150372331,0,19.45,1868.89,1019576.358
21,25.9964,39835,17.1669,0.8815,0,1,0.132587172,0,19.45,1868.89,1035586.044
22,26.4929,39835,16.7142,0.8814,0,1,0.08421052,0,19.45,1868.89,1055364.122
23,27.1904,39835,16.3411,0.8817,0,1,0.03189328,0,19.45,1868.89,1083149.034
24,27.8052,0,16.1034,0.8816,68487,2,-0.00834936,0,4.07,6161.01,1102877.626
25,27.5333,25540,16.0555,0.8816,22316,2,-8.16E-05,1,34951.11,9311.98,1096446.13
26,27.7461,0,15.9868,0.8817,68629,3,-0.013181212,1,6.92,12196.1,1097165.017
27,27.2496,0,15.9358,0.8815,68629,3,0.004288912,1,6.92,12196.1,1093664.938
28,27.7224,0,15.7677,0.8814,68629,4,-0.026003042,1,-88.42,12291.44,1082033.063
29,28.1362,0,15.3432,0.8815,68629,4,-0.070251204,1,-88.42,12291.44,1052900.053
30,29.2947,0,15.5354,0.8817,68629,4,-0.103981864,1,-88.42,12291.44,1066090.547
31,29.4484,0,15.511,0.8816,68629,4,-0.111542764,1,-88.42,12291.44,1064415.999
32,29.8267,0,17.0472,0.8815,68629,4,-0.03171491,1,-88.42,12291.44,1169843.869
33,28.68,0,16.5254,0.8814,68629,4,-0.017933906,1,-88.42,12291.44,1134033.257
34,28.6091,0,16.4331,0.8815,68629,4,-0.020702109,1,-88.42,12291.44,1127698.8
35,29.673,0,17.2832,0.8814,68629,4,-0.012053045,1,-88.42,12291.44,1186040.313
36,28.9046,41136,17.4011,0.8814,0,5,0.024773091,1,17.29,12834.28,1189036.916
37,29.3184,41136,17.4008,0.8814,0,5,0.00848749,1,17.29,12834.28,1206058.992
38,28.9401,41136,17.3562,0.8815,0,5,0.020784689,1,17.29,12834.28,1190497.244
39,29.7913,0,17.4501,0.8815,69927,6,-0.006996351,1,10.21,17582.78,1220243.353
40,32.9714,0,18.3481,0.8814,69927,6,-0.072894206,1,10.21,17582.78,1283037.799
41,33.9289,0,18.7048,0.8815,69927,6,-0.086402852,1,10.21,17582.78,1307980.76
42,31.8837,0,17.7631,0.8817,69927,6,-0.06690447,1,10.21,17582.78,1242130.504
43,33.0423,0,18.3045,0.8816,69927,6,-0.077731704,1,10.21,17582.78,1279988.982
44,37.0618,0,18.9402,0.8814,69927,6,-0.174976982,1,10.21,17582.78,1324441.575
45,37.712,0,20.6901,0.8813,69927,6,-0.106512701,1,10.21,17582.78,1446806.833
46,38.173,0,20.5727,0.8814,69927,6,-0.126108709,1,10.21,17582.78,1438597.403
47,39.0124,0,21.8506,0.8813,69927,6,-0.0907391,1,10.21,17582.78,1527957.116
48,37.8302,0,22.7059,0.8815,69927,6,-0.017124755,1,10.21,17582.78,1587765.679
49,36.0214,0,21.3179,0.8818,69927,6,-0.02412891,1,10.21,17582.78,1490707.003
50,34.6974,0,20.9887,0.8819,69927,6,0.003167428,1,10.21,17582.78,1467687.035
51,35.1111,0,20.585,0.8819,69927,7,-0.02981921,1,-85.18,17678.17,1439362.115
52,32.4394,43565,20.298,0.8818,0,8,0.046719238,1,15.92,18305.95,1413238.381
53,33.4324,43565,20.3647,0.8816,0,8,0.015491619,1,15.92,18305.95,1456498.426
54,30.8552,43565,19.3486,0.8817,0,8,0.056119585,1,15.92,18305.95,1344222.708
55,29.9804,43565,18.5914,0.8817,0,8,0.049115721,1,15.92,18305.95,1306112.046
56,32.5694,43565,19.6512,0.8814,0,8,0.009757953,1,15.92,18305.95,1418901.831
57,32.5103,0,19.0808,0.8813,73908,9,-0.017619202,1,14.56,23792.59,1410238.326
58,33.6925,0,19.8138,0.8813,73908,9,-0.020802232,1,14.56,23792.59,1464412.89
59,34.1654,0,20.05,0.8813,73908,9,-0.024903793,1,14.56,23792.59,1481869.96
60,34.8747,0,19.9817,0.8814,73908,9,-0.051833226,1,14.56,23792.59,1476822.044
61,33.4561,0,19.8875,0.8814,73908,9,-0.009031028,1,14.56,23792.59,1469859.91
62,33.6807,0,19.533,0.8814,73908,9,-0.034674654,1,14.56,23792.59,1443659.524
63,33.0423,0,19.1742,0.8813,73908,9,-0.031313009,1,14.56,23792.59,1417141.334
64,31.0917,44547,18.8202,0.8813,0,10,0.019691431,1,2.37,24409.64,1385044.33
65,29.0228,44547,18.2277,0.8813,0,10,0.066511462,1,2.37,24409.64,1292881.042
